#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,16 00 29.30,-21 59 22.9 #Field centre
#UTTIME,14 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,240_m20_comissioning Tile 000
#TILING_DATE,2021 06 11 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","pmRA","pmDEC","Re","GAL_MU_E_R","Mstar","priority","remaining_observations","Tile_number","COMPLETED","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","SkyFibrePosition","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
1,"6243455183514478976",-64.64853,-3.93304,64.7680572103448,-0.728444441757036,0.0607623786584033,5.49397848676415,239.8228,-22.006319,15.6476001739502,14.9937000274658,14.7564001083374,14.6336002349854,14.5583000183105,15.031872,15.532604,14.379479,-3.820030079297,-4.03410997458121,1,19,-99,1,1,-999,"False",-67633.405714284,-3756.22146938835,1,-64648.53,-3933.04,NA,"P",-0.286055442477876,-0.0174028318584071
2,"6243222946045100544",98.10423,-131.61981,164.159112839735,0.766053348636056,2.21132164757055,4.83791700824509,240.5727,-22.547205,17.2110004425049,16.5352993011475,16.2155990600586,16.0492000579834,15.9242000579834,16.543694,17.064577,15.825532,-4.46322478963288,-3.34869583109249,1,19,-99,1,1,-999,"False",101843.994285715,-125996.457469388,1,98104.23,-131619.81,NA,"P",0.434089513274336,-0.582388539823009
3,"6243513869947710080",-13.04092,68.47495,69.7056982745952,3.35172491342272,-1.38260198676612,4.73432690018884,240.06178,-21.69595,18.43630027771,17.824800491333,17.5519008636475,17.4298992156982,17.3365993499756,17.850332,18.32902,17.179659,-3.70840510069674,-2.33111212273264,1,19,-99,1,1,-999,"False",-13623.9257142845,66387.172530612,1,-13040.92,68474.95,NA,"P",-0.057703185840708,0.302986504424779
4,"6243570666596999808",72.97889,118.27255,138.975949247108,3.09866297971782,4.1595342242873,5.22231406261011,240.456,-21.485659,17.1040992736816,16.5042991638184,16.2458000183105,16.1380004882813,16.0650005340576,16.528673,17.015089,15.88012,-3.27812103292475,-4.24760972375005,1,19,-99,1,1,-999,"False",75469.7942857132,113912.938530612,1,72978.89,118272.55,NA,"P",0.322915442477876,0.523329867256637
5,"6246536427410608512",-157.42526,133.75938,206.577550145344,3.08287626166195,-0.704301932129034,3.78717819379099,239.41011,-21.425264,17.7845001220703,16.9106998443604,16.5503005981445,16.369800567627,16.2469005584717,16.950565,17.583118,16.173782,-8.12473535360584,-3.78680423295996,1,19,-99,1,1,-999,"False",-160901.345714284,127562.208530612,1,-157425.26,133759.38,NA,"P",-0.696571946902655,0.591855663716814
6,"6243446181262893696",15.05632,-5.43398,16.0069019670516,3.72185477822092,2.79523150330925,0.926623274911675,240.19218,-22.013136,16.032600402832,15.4392995834351,15.1922998428345,15.0853004455566,14.9910001754761,15.465678,15.9300785,14.819762,-4.24943264180225,-1.15359531373464,1,19,-99,1,1,-999,"False",15846.4742857175,-5296.86346938792,1,15056.32,-5433.98,NA,"P",0.0666208849557522,-0.0240441592920354
7,"6243420892496083328",-109.29695,-72.53431,131.175643343109,-1.03040622656562,0.585907353081697,4.66687172753227,239.61848,-22.298157,18.2478008270264,17.1879005432129,16.830099105835,16.5498008728027,16.4370994567871,17.359007,17.908028,16.30469,-9.8903073105999,-9.68908812309869,1,19,-99,1,1,-999,"False",-113809.725714283,-69711.609469388,1,-109296.95,-72534.31,NA,"P",-0.48361482300885,-0.320948274336283
8,"6243489577612243584",-202.25041,-8.38473,202.42413898135,-1.5335255352895,0.041433445518305,4.70822632637178,239.20308,-22.022495,18.0799999237061,17.3959007263184,17.0797996520996,16.9400005340576,16.840799331665,17.42157,17.916876,16.704206,-9.50909419952175,-6.87900437491966,1,19,-99,1,1,-999,"False",-207690.125714284,-7411.99746938869,1,-202250.41,-8384.73,NA,"P",-0.894913318584071,-0.0371005752212389
9,"6243210095503164160",-29.71262,-146.30892,149.2954783603,2.00712925120005,1.37043964769073,0.636689603509323,239.98532,-22.611778,18.2404003143311,17.5811004638672,17.2817001342773,17.1429004669189,17.0475006103516,17.621658,17.757349,16.851812,-2.77031219424669,-6.02745275042852,1,19,-99,1,1,-999,"False",-30903.8857142775,-140589.955469388,1,-29712.62,-146308.92,NA,"P",-0.131471769911504,-0.647384601769912
10,"6243552593374031872",112.87867,68.55124,132.063873358714,3.6340444933678,3.68736267182581,6.22986712872158,240.6399,-21.696665,17.9207000732422,17.3372993469238,17.0613994598389,16.9349002838135,16.8285999298096,17.354914,17.842983,16.691002,-3.80428586906631,0.497905873931261,1,19,-99,1,1,-999,"False",117031.194285718,66225.5825306121,1,112878.67,68551.24,NA,"P",0.49946314159292,0.30332407079646
