#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,23 25 28.46,-22 01 22.3 #Field centre
#UTTIME,14 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,a test_label
#TILING_DATE,2021 06 16 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","Mstar","Re","z","GAL_MU_E_R","pmRA","pmDEC","priority","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","SkyFibrePosition","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
1,"2391421881853971200",81.48528,59.58538,100.946859121138,3.36252507699763,3.7729795280094,5.87273085616781,351.74445,-21.767424,18.4379005432129,17.3595008850098,16.8819007873535,16.680700302124,16.5289001464844,17.387497,18.168264,16.510353,-99,1,0,19,10.5398238859556,-7.72881778415644,1,84941.9616326453,57727.0739183678,1,81485.28,59585.38,NA,"P",0.360554336283186,0.263652123893805
2,"2385396626853830912",-34.35895,-49.4119,60.1836631214194,1.33339029784227,0.963192733386786,0.370197564455481,351.20908,-22.234865,17.5007991790771,16.3882999420166,15.8625001907349,15.614800453186,15.4469003677368,16.378122,17.216356,15.490698,-99,1,0,19,20.6915487596439,-1.76189203613005,1,-36051.6583673548,-47914.5920816324,1,-34358.95,-49411.9,NA,"P",-0.152030752212389,-0.218636725663717
3,"2385493933632428672",-91.92929,100.234,136.006798050333,-0.122380806410538,-0.828588231276548,0.70620742486601,350.94736,-21.595125,18.9473991394043,17.7404003143311,16.8838996887207,16.4983997344971,16.2772006988525,17.546831,18.60205,16.506008,-99,1,0,19,6.17708272014039,-1.16414710890818,1,-95200.3783673476,96666.6479183675,1,-91929.29,100234,NA,"P",-0.406766769911504,0.443513274336283
4,"2385416280623556608",-64.03089,7.09063,64.4222935635561,-0.35280304536229,-0.110288294948729,6.04067055676603,351.07214,-21.992125,15.2313003540039,14.4947004318237,14.2292995452881,14.1282997131348,14.0327997207642,14.556867,15.106991,13.87525,-99,1,0,19,13.84882353406,-27.2392004819121,1,-67000.0983673506,6944.6479183671,1,-64030.89,7090.63,NA,"P",-0.283322522123894,0.0313744690265487
5,"2391424703647877376",61.58611,62.73507,87.912103562803,0.268382006956516,3.93623242239967,2.61533489173643,351.65283,-21.753977,17.2907009124756,16.1613998413086,15.5334997177124,15.246600151062,15.0761995315552,16.099274,16.961412,15.171159,-99,1,0,19,4.42033825450666,-15.4791251941224,1,64235.8416326504,60766.0959183677,1,61586.11,62735.07,NA,"P",0.272504911504425,0.277588805309735
6,"2388387985675592192",141.68676,-45.97757,148.959977518804,0.904001392452598,2.82781167217185,4.35937502746034,352.01962,-22.21716,17.2877006530762,16.5503997802734,16.2530994415283,16.1471004486084,16.0352001190186,16.607439,17.173697,15.909305,-99,1,0,19,0.280950220601796,10.0265116649305,1,147130.381632646,-43913.2620816325,1,141686.76,-45977.57,NA,"P",0.626932566371681,-0.203440575221239
7,"2388395514753646592",146.25669,-24.25666,148.254527499539,4.36649383919174,2.9772387559405,1.38925508325124,352.04034,-22.124723,14.8587999343872,14.1667995452881,13.911600112915,13.8266000747681,13.7382001876831,14.217634,14.745784,13.556151,-99,1,0,19,-8.16198358348859,-21.3564105658824,1,151813.101632655,-23022.5000816325,1,146256.69,-24256.66,NA,"P",0.647153495575221,-0.107330353982301
8,"2388408915051630592",47.53847,-1.87647,47.5754902192484,0.854327496838599,3.10214047223735,4.03537233178084,351.58905,-22.030792,17.6847991943359,17.0212001800537,16.7117004394531,16.5807991027832,16.4472007751465,17.087181,17.609211,16.355448,-99,1,0,19,-2.47013660333743,-2.57908378732089,1,49821.5616326485,-1794.09408163296,1,47538.47,-1876.47,NA,"P",0.210347212389381,-0.00830296460176991
9,"2391489295660804480",-27.70197,134.28064,137.108312733731,0.125984761298718,-1.36735137896749,1.4933361402662,351.24207,-21.450651,17.011100769043,16.3526992797852,16.0645008087158,15.9377002716064,15.8402004241943,16.387346,16.91824,15.706564,-99,1,0,19,-2.55829637263232,-3.71706268492813,1,-28595.9183673456,129317.771918367,1,-27701.97,134280.64,NA,"P",-0.122575088495575,0.594162123893805
10,"2391498130408816000",13.10364,173.8585,174.351608548644,0.283578274726843,4.63716164222956,1.92960193967687,351.42862,-21.286415,18.153600692749,16.9018993377686,16.1292991638184,15.7786998748779,15.5836000442505,16.748865,17.760353,15.741593,-99,1,0,19,3.28167995599436,-2.71380023094031,1,13564.3816326569,166435.107918367,1,13103.64,173858.5,NA,"P",0.0579807079646018,0.769285398230088
