#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,23 25 16.36,-21 59 12.1 #Field centre
#UTTIME,14 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,a test_label
#TILING_DATE,2021 06 16 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","Mstar","Re","z","GAL_MU_E_R","pmRA","pmDEC","priority","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","SkyFibrePosition","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
15,"2382398469098594176",77.46921,-46.25572,90.2278788997198,3.75957420670407,2.60331913301596,1.15625507368811,351.67633,-22.184353,18.7978992462158,17.7329006195068,17.2768993377686,17.0823993682861,16.9396991729736,17.768316,18.501873,16.93646,-99,1,0,19,-2.04704291271666,-5.96824398929068,1,80940.055102046,-44667.8253469388,1,77469.21,-46255.72,NA,"P",0.342784115044248,-0.204671327433628
16,"2385484729518096768",-133.75242,60.00175,146.594405960524,-0.621983703211617,-0.42169165435763,6.0828932583256,350.70554,-21.730236,17.519100189209,16.4125995635986,15.9163999557495,15.7070999145508,15.552300453186,16.426373,17.208647,15.556283,-99,1,0,19,4.78966095315167,-13.0109748262284,1,-138458.484897959,57962.6166530612,1,-133752.42,60001.75,NA,"P",-0.591824867256637,0.265494469026549
17,"2382343699675576448",24.73984,-174.04606,175.79559347364,1.1263791790096,1.71199576561003,5.69756872057915,351.4313,-22.723152,18.5470008850098,17.3446998596191,16.0823001861572,15.5340003967285,15.2354001998901,16.818916,18.235289,15.644128,-99,1,0,19,-6.67583933773702,9.4917159229208,1,25563.2751020493,-166436.399346938,1,24739.84,-174046.06,NA,"P",0.109468318584071,-0.770115309734513
18,"2385470912607650944",-121.74361,26.94575,124.689935515641,-0.720148650810539,-0.21782040433686,5.78085706070591,350.75815,-21.870695,16.0363998413086,15.3375997543335,15.0510997772217,14.9419002532959,14.8591003417969,15.379528,15.910437,14.702821,-99,1,0,19,-6.70076480871587,-2.3904829914552,1,-126568.624897955,26218.8826530612,1,-121743.61,26945.75,NA,"P",-0.538688539823009,0.119228982300885
19,"2385364019462034688",-82.99936,-107.30617,135.659529265284,-1.09786239506367,0.912435515941878,4.27288739617404,350.93524,-22.443335,18.2800998687744,17.3696994781494,16.9787998199463,16.8034992218018,16.6597003936768,17.426334,18.096802,16.63615,-99,1,0,19,-6.37413999410876,-0.860632638416947,1,-86546.2848979507,-103197.757346939,1,-82999.36,-107306.17,NA,"P",-0.367253805309735,-0.474806061946903
20,"2382327924259889280",164.29745,-128.13559,208.356380994561,4.58280134148222,2.47922850326438,2.10357283821784,351.88474,-22.71997,17.5333995819092,17.0275001525879,16.8411998748779,16.7682991027832,16.6879005432129,17.083092,17.484661,16.491997,NA,NA,NA,NA,0.308620503339005,-6.6363713631228,1,128040.715102049,-165717.267346938,0,124586.46,-174963.81,NA,"P",0.551267522123894,-0.774176150442478
21,"2382307175273657344",124.58646,-174.96381,214.788549101314,0.388793071864384,2.18957703595418,4.48240134308979,352.06573,-22.523638,16.128999710083,15.5818996429443,15.3105001449585,15.2207002639771,15.1464996337891,15.599576,16.066132,14.968564,NA,NA,NA,NA,17.1717925308224,-5.89543242187011,1,168944.455102038,-121346.235346938,0,164297.45,-128135.59,NA,"P",0.726979867256637,-0.566971637168142
NA,"Sky-A1-1",-231.15927,84.151,NA,NA,NA,NA,350.2834767,-21.633277127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-231159.27,84151,0,"S",-1.02282862831858,0.372349557522124
NA,"Sky-A1-2",-222.23219,93.24117,NA,NA,NA,NA,350.3223253,-21.595156762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-222232.19,93241.17,1,"S",-0.983328274336283,0.412571548672566
NA,"Sky-A1-3",-217.48859,103.8257,NA,NA,NA,NA,350.3438923,-21.551185324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-217488.59,103825.7,1,"S",-0.96233889380531,0.459405752212389
NA,"Sky-A1-4",-212.24121,114.16975,NA,NA,NA,NA,350.3676973,-21.508224931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-212241.21,114169.75,1,"S",-0.939120398230089,0.505175884955752
NA,"Sky-A1-5",-206.50222,124.24934,NA,NA,NA,NA,350.3936836,-21.466374415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-206502.22,124249.34,1,"S",-0.913726637168142,0.549775840707965
NA,"Sky-A1-6",-200.2849,134.04112,NA,NA,NA,NA,350.4217899,-21.425729913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-200284.9,134041.12,1,"S",-0.886216371681416,0.593102300884956
NA,"Sky-A1-7",-193.60365,143.52243,NA,NA,NA,NA,350.4519502,-21.386384621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-193603.65,143522.43,1,"S",-0.856653318584071,0.635055
NA,"Sky-A2-1",-3.01251,240.9813,NA,NA,NA,NA,351.3053273,-20.982711687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3012.51,240981.3,1,"S",-0.0133296902654867,1.0662889380531
NA,"Sky-A2-2",8.5856,240.84715,NA,NA,NA,NA,351.3570969,-20.983286946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8585.6,240847.15,1,"S",0.0379893805309735,1.0656953539823
NA,"Sky-A2-3",20.16382,240.15512,NA,NA,NA,NA,351.4087765,-20.986171538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20163.82,240155.12,1,"S",0.0892204424778761,1.06263327433628
NA,"Sky-A2-4",31.69534,238.90682,NA,NA,NA,NA,351.4602488,-20.991358766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31695.34,238906.82,1,"S",0.140244867256637,1.05710982300885
NA,"Sky-A2-5",43.15344,237.10513,NA,NA,NA,NA,351.5113967,-20.998836763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43153.44,237105.13,1,"S",0.190944424778761,1.04913774336283
NA,"Sky-A2-6",54.51158,234.75423,NA,NA,NA,NA,351.5621039,-21.008588374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54511.58,234754.23,1,"S",0.241201681415929,1.03873553097345
NA,"Sky-A2-7",65.74346,231.85957,NA,NA,NA,NA,351.6122551,-21.020591273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65743.46,231859.57,1,"S",0.290900265486726,1.02592730088496
NA,"Sky-A3-1",231.67752,66.38214,NA,NA,NA,NA,352.3569482,-21.707172888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231677.52,66382.14,1,"S",1.0251217699115,0.293726283185841
NA,"Sky-A3-2",234.60313,55.15828,NA,NA,NA,NA,352.3703481,-21.753824073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234603.13,55158.28,1,"S",1.03806694690265,0.244063185840708
NA,"Sky-A3-3",236.98531,43.80666,NA,NA,NA,NA,352.3813229,-21.801018552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236985.31,43806.66,1,"S",1.04860756637168,0.193834778761062
NA,"Sky-A3-4",234.85465,31.81656,NA,NA,NA,NA,352.3732364,-21.85084237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234854.65,31816.56,3,"S",1.03917986725664,0.140781238938053
NA,"Sky-A3-5",238.106,20.65269,NA,NA,NA,NA,352.3875473,-21.897326569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238106,20652.69,2,"S",1.05356637168142,0.0913835840707965
NA,"Sky-A3-6",240.82258,9.24926,NA,NA,NA,NA,352.3994509,-21.944768866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240822.58,9249.26,1,"S",1.06558663716814,0.0409259292035398
NA,"Sky-A3-7",240.98869,2.34844,NA,NA,NA,NA,352.4003812,-21.973488825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240988.69,2348.44,1,"S",1.06632163716814,0.0103913274336283
NA,"Sky-A4-1",210.21182,-117.86456,NA,NA,NA,NA,352.2650222,-22.474594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210211.82,-117864.56,1,"S",0.930140796460177,-0.521524601769911
NA,"Sky-A4-2",204.2974,-127.84223,NA,NA,NA,NA,352.2386109,-22.516256825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204297.4,-127842.23,1,"S",0.903970796460177,-0.565673584070796
NA,"Sky-A4-3",197.90977,-137.52377,NA,NA,NA,NA,352.2100457,-22.55669409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197909.77,-137523.77,1,"S",0.875706946902655,-0.608512256637168
NA,"Sky-A4-4",191.06371,-146.88677,NA,NA,NA,NA,352.1793915,-22.595811308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191063.71,-146886.77,1,"S",0.845414646017699,-0.649941460176991
NA,"Sky-A4-5",183.77509,-155.90952,NA,NA,NA,NA,352.1467185,-22.633516839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183775.09,-155909.52,1,"S",0.813164115044248,-0.689865132743363
