#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,23 25 40.52,-21 49 03.2 #Field centre
#UTTIME,14 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,350_m20_comissioning_within_half_radius Tile 000
#TILING_DATE,2021 06 16 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","Mstar","Re","z","GAL_MU_E_R","pmRA","pmDEC","priority","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","SkyFibrePosition","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
1,"2385372888569606528",-103.623,-140.79568,174.817475201029,2.38926696868984,0.936327664380173,1.45293930430967,350.94382,-22.412846,17.4106998443604,16.1828002929688,15.2448997497559,14.8198003768921,14.5677995681763,16.070051,17.022104,14.807999,-99,1,0,19,6.18236578722813,-6.51591433724456,1,-107354.381632649,-134534.991142857,1,-103623,-140795.68,NA,"P",-0.458508849557522,-0.622989734513274
2,"2385473871840769024",-128.87285,19.67053,130.365414192582,-1.07920257803368,-0.151466134179696,5.3554488633256,350.82703,-21.732557,15.7902002334595,15.1358003616333,14.8573999404907,14.7601003646851,14.6609001159668,15.216007,15.68926,14.505576,-99,1,0,19,2.00121527302489,-2.53493900759066,1,-133748.921632657,19210.3228571426,1,-128872.85,19670.53,NA,"P",-0.570233849557522,0.0870377433628319
3,"2385393092095785216",-123.03653,-75.61906,144.416861722323,-0.419305136085909,0.551090455030505,5.31278971606317,350.8533,-22.138266,16.7178993225098,16.0359001159668,15.7412996292114,15.6014995574951,15.4750995635986,16.079668,16.643047,15.383336,-99,1,0,19,-1.42046601503011,-2.39622930555416,1,-127811.901632655,-72479.9111428578,1,-123036.53,-75619.06,NA,"P",-0.544409424778761,-0.334597610619469
4,"2391466927471348992",97.21896,95.02557,135.946258268871,3.37168570051178,3.91558193667513,5.73928907101624,351.86417,-21.41214,17.7870998382568,16.5807991027832,15.7194995880127,15.3275003433228,15.1028995513916,16.359152,17.433142,15.32635,-99,1,0,19,-5.10260264893373,-15.0546628726433,1,100644.718367348,91624.5648571424,1,97218.96,95025.57,NA,"P",0.430172389380531,0.420467123893805
5,"2385472531810967808",-109.33502,5.54736,109.475658487949,1.78037240382848,-0.0506937960442908,1.83106619987277,350.91513,-21.79302,16.3374004364014,15.2440996170044,14.7459001541138,14.5214004516602,14.388500213623,15.247929,16.04249,14.38949,-99,1,0,19,-12.128365011462,-7.94149793144965,1,-113838.321632658,5545.6848571429,1,-109335.02,5547.36,NA,"P",-0.483783274336283,0.0245458407079646
6,"2385419510439004800",-80.10607,-35.28547,87.5331185550121,-1.30553828304304,0.414912589502368,4.56273443463418,351.0487,-21.968216,17.4251003265381,16.3493003845215,15.7901000976563,15.5130996704102,15.3259000778198,16.317001,17.157938,15.412575,-99,1,0,19,2.57216773041731,-2.94273657037384,1,-83651.5016326532,-34048.6111428578,1,-80106.07,-35285.47,NA,"P",-0.354451637168142,-0.156130398230089
7,"2382347822844187520",-10.44694,-201.06602,201.337236878835,-1.30516064628794,1.51888524647341,3.45913941441824,351.37067,-22.66407,16.2789993286133,15.3976001739502,15.0173997879028,14.9383001327515,14.7840003967285,15.501406,16.087507,14.629296,-99,1,0,19,-1.71409835284371,-10.3799131371112,1,-10886.2816326483,-191311.615142857,1,-10446.94,-201066.02,NA,"P",-0.0462253982300885,-0.889672654867257
8,"2391521769908812288",12.67254,130.90684,131.51879724525,3.13730354192005,4.61588390248207,4.80460494661757,351.47717,-21.259356,17.6539001464844,16.7796001434326,16.3715000152588,16.1830005645752,16.0410003662109,16.836075,17.446432,16.005428,-99,1,0,19,4.18436928113351,9.13952827276091,1,13182.7183673478,126153.748857142,1,12672.54,130906.84,NA,"P",0.056073185840708,0.579233805309734
9,"2391490532611409408",-44.65348,100.50411,109.977313128674,-0.267129080120502,-1.15269674437514,0.885567664254634,351.21393,-21.387608,18.5914001464844,17.3782005310059,16.0702991485596,15.4919004440308,15.188099861145,16.802711,18.239256,15.609897,-99,1,0,19,11.7229696040554,2.66474876689532,1,-46309.5216326514,97168.7968571425,1,-44653.48,100504.11,NA,"P",-0.197581769911504,0.444708451327434
10,"2391431571300204928",7.67804,20.70687,22.0845367494657,3.59785870375243,4.35730843801938,5.52373557291263,351.45453,-21.728308,17.8351001739502,16.9043998718262,16.5090007781982,16.3432006835938,16.2369995117188,16.945047,17.637146,16.144535,-99,1,0,19,-1.34281239330553,-0.871643568203797,1,8066.07836734236,20170.5968571429,1,7678.04,20706.87,NA,"P",0.0339736283185841,0.0916233185840708
