#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,23 25 40.52,-22 01 22.3 #Field centre
#UTTIME,14 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,350_m20_comissioning_within_half_radius Tile 002
#TILING_DATE,2021 06 16 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","Mstar","Re","z","GAL_MU_E_R","pmRA","pmDEC","priority","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","SkyFibrePosition","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
1,"2388396128933877248",150.8562,-13.8568,151.491267024472,4.03292768246258,3.0499953236253,0.982932358837278,352.11115,-22.080374,18.6853008270264,17.8530006408691,17.534200668335,17.3978996276855,17.2849006652832,17.910591,18.481651,17.168653,-99,1,0,19,1.86518289061261,-4.73382138074975,1,156462.19836735,-12999.6260816324,1,150856.2,-13856.8,NA,"P",0.667505309734513,-0.0613132743362832
2,"2391434148280592768",-15.65177,74.72783,76.3493711869443,3.16135761684636,-1.36433062688076,4.52568824372712,351.34677,-21.702429,16.1655006408691,15.3473997116089,14.9512996673584,15.1583995819092,14.8597002029419,15.670816,15.882101,14.646678,-99,1,0,19,-9.85059933773047,-13.5859896689426,1,-16287.6816326542,72415.9439183677,1,-15651.77,74727.83,NA,"P",-0.0692556194690266,0.330654115044248
3,"2385368280069613440",-129.49493,-86.60863,155.788291235836,-1.25044144469568,0.589490989396702,4.4432528730872,350.82336,-22.389687,17.1145000457764,15.9533996582031,15.4012002944946,15.1461000442505,14.9728002548218,15.936115,16.79308,15.029324,-99,1,0,19,-4.42457770765748,-0.790262621444965,1,-134578.341632657,-82904.3640816323,1,-129494.93,-86608.63,NA,"P",-0.572986415929203,-0.383224026548673
4,"2385482771013001728",-85.34128,107.56881,137.310534762831,-0.397262961629461,-0.900114510114033,0.502851548484572,351.02798,-21.564032,18.641300201416,17.4398994445801,16.7196006774902,16.3892993927002,16.1907005310059,17.32868,18.27397,16.34032,-99,1,0,19,-3.32535319116901,-5.35797217904372,1,-88334.2216326494,103693.665918367,1,-85341.28,107568.81,NA,"P",-0.377616283185841,0.475968185840708
5,"2388399805425924224",135.45087,6.31528,135.59801232037,3.95721376811156,3.18818305116999,0.769030716941569,352.0414,-21.994837,17.1375999450684,16.2458000183105,15.8731002807617,15.7327995300293,15.5946998596191,16.28562,16.93848,15.514439,-99,1,0,19,-11.0486764796863,-0.950602755186481,1,140698.69836735,6331.73591836734,1,135450.87,6315.28,NA,"P",0.599340132743363,0.0279437168141593
6,"2382370255457668224",26.3791,-134.62111,137.181267578493,1.28975852985931,1.76429530906386,5.80864852797503,351.54022,-22.596062,15.4015998840332,14.5841999053955,14.2441997528076,14.1005001068115,13.9720001220703,14.615424,15.226612,13.881585,-99,1,0,19,5.93260418669996,-16.7887323101491,1,27432.0183673423,-129545.114081633,1,26379.1,-134621.11,NA,"P",0.116721681415929,-0.595668628318584
7,"2382367197441207552",-49.32395,-102.84115,114.057679166836,1.90254970526653,1.12359095054582,0.778958754720713,351.19046,-22.462067,18.80419921875,17.9706001281738,17.6347999572754,17.4965991973877,17.3880996704102,18.036856,18.70923,17.29885,-99,1,0,19,7.36708975530977,-3.97684998118077,1,-51613.7416326585,-99262.2440816328,1,-49323.95,-102841.15,NA,"P",-0.218247566371681,-0.455049336283186
8,"2388415168523999744",136.49068,42.06561,142.825842449938,3.88037670366341,3.44054983238139,0.439826871282016,352.04495,-21.842718,16.8577995300293,16.1725006103516,15.9146995544434,15.8312997817993,15.7388000488281,16.231195,16.773024,15.567882,-99,1,0,19,2.52998159107219,4.91676136778503,1,141500.998367341,40710.6299183671,1,136490.68,42065.61,NA,"P",0.603941061946903,0.186131017699115
9,"2382367575398347136",-32.50134,-95.31912,100.707853414567,1.89452838885341,1.24218502179265,0.652343367060763,351.26807,-22.430696,18.4321002960205,17.7068004608154,17.4064998626709,17.2744007110596,17.176399230957,17.752127,18.30476,17.072884,-99,1,0,19,6.280277326725,2.1289019076758,1,-34073.8816326473,-92172.3980816328,1,-32501.34,-95319.12,NA,"P",-0.143811238938053,-0.421766017699115
10,"2385477032936686976",-51.72828,77.37246,93.0715451586037,0.0307720667218003,-0.981482775955095,1.0122548426769,351.1804,-21.691124,17.8502006530762,16.6396007537842,15.9056997299194,15.5791997909546,15.3805999755859,16.513906,17.501629,15.53063,-99,1,0,19,3.98798526455737,-7.46283525475677,1,-53887.3016326479,74970.8739183678,1,-51728.28,77372.46,NA,"P",-0.228886194690265,0.342356017699115
