#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,15 59 51.05,-21 57 37.6 #Field centre
#UTTIME,12 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,240_m20_comissioning Tile 011
#TILING_DATE,2021 06 07 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","pmRA","pmDEC","priority","remaining_observations","Tile_number","COMPLETED","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","Position","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
1,"6243505589250756224",-39.93636,20.00607,44.6671656465294,1.73173129254024,-0.464406328499299,2.19613762103954,239.77774,-21.87433,16.3819007873535,15.9927997589111,15.845100402832,15.7940998077393,15.7479000091553,16.007183,16.354881,15.488018,-6.71270214674939,-1.61821363254762,1,1,-999,"False",-41805.0164102616,19460.1588205128,1,-39936.36,20006.07,NA,"P",-0.176709557522124,0.0885224336283186
2,"6243415429296757632",-95.40481,-112.71983,147.674770514008,2.26066921294586,0.868402446609058,1.3922667663368,239.52362,-22.439318,17.2957000732422,16.496000289917,16.1511993408203,15.9746999740601,15.8646001815796,16.522007,17.128826,15.767745,0.202797810135751,0.402430120237999,1,1,-999,"False",-99236.1364102552,-108227.129179487,1,-95404.81,-112719.83,NA,"P",-0.42214517699115,-0.498760309734513
3,"6243637083971347328",60.34207,177.429,187.409219231298,3.00375668084864,4.38456858229551,4.90237340573271,240.23615,-21.210752,16.5328006744385,16.0599994659424,15.8500003814697,15.7601003646851,15.7009000778198,16.068996,16.475332,15.486217,-0.0653012798033675,-4.35563208499811,1,1,-999,"False",61795.6435897418,169428.786820513,1,60342.07,177429,NA,"P",0.267000309734513,0.78508407079646
4,"6243623958551267712",83.69884,159.28888,179.940109783783,2.68118044291781,4.22858682592106,4.73577892417635,240.34273,-21.286184,18.1697006225586,17.5590991973877,17.3141002655029,17.2105007171631,17.1324005126953,17.601166,18.081148,16.948643,1.13411965325042,-5.57033567729707,1,1,-999,"False",85882.7235897372,152381.154820513,1,83698.84,159288.88,NA,"P",0.370348849557522,0.704818053097345
5,"6243360591157117696",176.90372,44.40821,182.392475900851,0.991467309879816,3.38754086111128,3.88711175594812,240.76788,-21.77082,16.1853008270264,15.4486999511719,15.1094999313354,14.9447002410889,14.8207998275757,15.46349,16.050259,14.730562,0.67895292426477,-0.378263077443172,1,1,-999,"False",181966.623589738,42853.4188205128,1,176903.72,44408.21,NA,"P",0.782759823008849,0.196496504424779
6,"6243238098690254592",147.60089,-55.48557,157.685355080987,1.09801539229159,2.7820189559215,4.59918174354968,240.63956,-22.194668,16.9825992584229,16.281099319458,15.9861001968384,15.8297996520996,15.7117004394531,16.30662,16.870842,15.598918,0.164511897740519,-0.343484493883393,1,1,-999,"False",152966.303589744,-52936.2291794871,1,147600.89,-55485.57,NA,"P",0.653101283185841,-0.245511371681416
7,"6246556111240135808",-119.36954,165.86466,204.353058496141,0.605592859330531,-0.946983809721313,1.55257666905184,239.4234,-21.261112,18.4123992919922,17.8190002441406,17.5296993255615,17.4062995910645,17.2996997833252,17.840845,18.292728,17.160276,-2.05489600016552,0.982435950909103,1,1,-999,"False",-121885.856410263,158047.426820513,1,-119369.54,165864.66,NA,"P",-0.528183805309735,0.733914424778761
8,"6243189651458612608",55.24633,-191.16829,198.991135681952,4.59873927533913,1.85212477392504,2.74661450141409,240.21503,-22.765425,16.6634006500244,16.154899597168,15.9194002151489,15.8140001296997,15.7418003082275,16.166145,16.583508,15.554952,-5.67213167767874,0.0846017470556082,1,1,-999,"False",57022.5235897362,-181927.311179487,1,55246.33,-191168.29,NA,"P",0.244452787610619,-0.845877389380531
9,"6246637960439132544",-57.13242,162.09823,171.87189876239,0.49896325220565,-1.23193561657826,1.73089886878391,239.70293,-21.273293,18.8083992004395,17.9256992340088,17.5387992858887,17.3448009490967,17.206600189209,17.954098,18.537401,17.142607,-1.18628444325965,0.186749624306205,1,1,-999,"False",-58712.0764102647,155294.520820513,1,-57132.42,162098.23,NA,"P",-0.252798318584071,0.717248805309735
10,"6243611726483647232",49.97374,107.94765,118.954066051187,1.42225316400362,4.27882293610852,3.42661553507469,240.19212,-21.499271,18.0582008361816,17.3376998901367,17.0380992889404,16.8808994293213,16.7502994537354,17.380156,17.920498,16.662687,-8.27982201298261,-0.627418072902287,1,1,-999,"False",51844.8635897435,104223.492820513,1,49973.74,107947.65,NA,"P",0.221122743362832,0.477644469026549
11,"6246648818116471040",-3.76261,215.93632,215.969098551516,0.231424042085284,-1.55337346216943,1.78479750425471,239.94582,-21.053741,18.0235004425049,17.3955001831055,17.1394996643066,17.0112991333008,16.9216003417969,17.432583,17.938269,16.759033,6.09622868247234,-13.2728384866458,1,1,-999,"False",-3818.93641025442,204913.272820513,1,-3762.61,215936.32,NA,"P",-0.0166487168141593,0.955470442477876
12,"6246644729307590400",9.95152,203.90235,204.145049133779,0.713708714031376,4.66362235312098,2.33327166808998,240.00766,-21.101868,17.8223991394043,17.3050003051758,17.0806007385254,16.9803009033203,16.9083995819092,17.325102,17.764292,16.709682,-0.281742294644483,-3.996072171939,1,1,-999,"False",10156.9035897432,194036.570820513,1,9951.52,203902.35,NA,"P",0.0440332743362832,0.902222787610619
13,"6243359663444125184",202.27179,37.99163,205.80874855035,-1.48369304317374,3.32725421806366,1.47223804594219,240.87912,-21.798134,18.6539001464844,17.8855991363525,17.5722999572754,17.4279003143311,17.2964000701904,17.93453,18.517284,17.191063,-2.09709348864769,-0.230037074946588,1,1,-999,"False",207106.863589746,36680.4548205126,1,202271.79,37991.63,NA,"P",0.895007920353982,0.168104557522124
14,"6243505280013101184",-15.71509,30.05761,33.917900474826,1.63209270166473,-1.08905014835397,2.72114285001871,239.88988,-21.831087,17.3185997009277,16.6767997741699,16.425500869751,16.3131999969482,16.2236995697021,16.71386,17.214664,16.057808,-3.9090055122208,-2.63034521763107,1,1,-999,"False",-16461.3764102656,29233.0768205128,1,-15715.09,30057.61,NA,"P",-0.069535796460177,0.132998274336283
15,"6243195836212018688",73.40332,-181.65215,195.922308547661,4.60335657077506,1.95482123240667,2.6485353383684,240.2981,-22.725729,18.1938991546631,17.7327995300293,17.512300491333,17.4246997833252,17.3488006591797,17.731209,18.05111,17.136114,-21.7357962792226,-7.61095864517974,1,1,-999,"False",75796.3435897408,-172956.015179487,1,73403.32,-181652.15,NA,"P",0.324793451327434,-0.803770575221239
16,"6243551115905283584",146.79671,61.7833,159.268484722227,1.09910568095567,3.53996556541487,3.84232542272039,240.63351,-21.6968,17.5596008300781,16.8742008209229,16.556999206543,16.4062995910645,16.2868003845215,16.890297,17.440067,16.17059,-3.10949007697149,3.77044091378323,1,1,-999,"False",151599.00358974,59581.938820513,1,146796.71,61783.3,NA,"P",0.64954296460177,0.273377433628319
17,"6243616914804845952",81.32367,110.89439,137.517653542158,1.33393540823776,4.07963359332785,3.5374871220895,240.335,-21.487692,17.5713996887207,16.8955993652344,16.5860996246338,16.4302005767822,16.3094997406006,16.976677,17.450983,16.177185,-1.83303567230798,1.85356781817616,1,1,-999,"False",84135.7435897415,106840.346820512,1,81323.67,110894.39,NA,"P",0.359839247787611,0.49068314159292
18,"6243492154592634752",-165.27696,-0.79133,165.278854394658,-1.30937015835411,0.00478786609617954,4.9690272827293,239.20673,-21.962023,17.297399520874,16.5391006469727,16.2024002075195,16.0275993347168,15.9181995391846,16.558157,17.136738,15.822454,-14.1849233943624,0.258661248594968,1,1,-999,"False",-170853.276410262,-358.459179487596,1,-165276.96,-791.33,NA,"P",-0.731313982300885,-0.00350146017699115
19,"6243472122865117056",-137.41836,-52.55203,147.124170421486,2.52686154073137,0.365263133315215,2.16159840741616,239.33159,-22.182684,17.1383991241455,16.3292999267578,15.9533996582031,15.7508001327515,15.6225004196167,16.343359,16.985626,15.568529,-7.04632335025445,-4.64728838091699,1,1,-999,"False",-142634.916410265,-50227.8451794867,1,-137418.36,-52552.03,NA,"P",-0.608045840707965,-0.23253110619469
