#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,15 59 31.99,-22 02 57.7 #Field centre
#UTTIME,12 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,240_m20_comissioning Tile 005
#TILING_DATE,2021 06 07 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","pmRA","pmDEC","priority","remaining_observations","Tile_number","COMPLETED","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","Position","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
1,"6243432299928433280",62.08698,-53.22218,81.7764851865914,4.03524253157283,2.43292210749591,1.60232042407692,240.1707,-22.277113,18.1660995483398,17.4873008728027,17.1485004425049,16.9801006317139,16.8726997375488,17.495363,18.015966,16.759142,-5.12119742031682,-5.82138868529121,1,1,-999,"False",64953.7712359551,-51471.4619101123,1,62086.98,-53222.18,NA,"P",0.274721150442478,-0.235496371681416
2,"6243570838395264640",140.6623,137.05672,196.39355167227,2.72966686407985,3.91400871211667,5.09884345914277,240.52069,-21.470222,17.9925003051758,17.5837993621826,17.4067001342773,17.3262996673584,17.288200378418,17.59082,17.947502,17.041372,-4.27235377293167,-5.01909013882159,1,1,-999,"False",144051.511235953,130885.904089888,1,140662.3,137056.72,NA,"P",0.622399557522124,0.606445663716814
3,"6243451678821058816",37.53228,-0.76237,37.5400219767557,3.76505742667824,3.12128306471117,0.643774361967068,240.05745,-22.052559,16.3292007446289,15.584400177002,15.233699798584,15.0620002746582,14.9456996917725,15.603504,16.192888,14.863531,-4.13032927326628,-1.63890940020464,1,1,-999,"False",39359.2712359501,-722.257910112006,1,37532.28,-762.37,NA,"P",0.16607203539823,-0.0033733185840708
4,"6243250811793459968",149.12382,-29.07936,151.932626086045,4.39547219166335,2.94900798654378,1.44646420511957,240.56773,-22.171572,18.1804008483887,17.536600112915,17.2099990844727,17.0356998443604,16.9314994812012,17.542421,18.063467,16.826841,-9.54192398634914,-3.29194105241455,1,1,-999,"False",154682.551235949,-27619.1959101126,1,149123.82,-29079.36,NA,"P",0.659839911504425,-0.128669734513274
5,"6243149691082788480",126.10462,-162.69068,205.841279980977,0.41891070403565,2.23018067079476,4.47191534042048,240.4582,-22.732506,18.2183990478516,17.1965999603271,16.7595996856689,16.5589008331299,16.4073009490967,17.222933,17.912342,16.380611,-5.51532348131479,-5.47071663377939,1,1,-999,"False",129928.771235954,-154390.279910112,1,126104.62,-162690.68,NA,"P",0.557985044247788,-0.719870265486726
6,"6243223873758073856",140.78509,-112.5428,180.239627713076,0.422633093829517,2.46722114314702,4.23859725786208,240.52757,-22.523888,14.6823997497559,14.1611003875732,13.9315004348755,13.792799949646,13.7076997756958,14.151555,14.605425,13.533948,-3.86914772190792,-1.47123208448865,1,1,-999,"False",145606.391235958,-107242.611910112,1,140785.09,-112542.8,NA,"P",0.622942876106195,-0.497976991150442
7,"6237482052235516544",-189.156,-29.7171,191.476103909626,-1.52482345439379,0.155829949088449,4.60253190369735,239.02133,-22.17246,17.9647006988525,17.4683990478516,17.2408008575439,17.1410999298096,17.0685997009277,17.486643,17.891178,16.874336,-5.09411477724826,-6.88610738069868,1,1,-999,"False",-194803.848764052,-27819.8839101125,1,-189156,-29717.1,NA,"P",-0.836973451327434,-0.131491592920354
8,"6246509592455294464",-150.53761,101.60778,181.61969326326,3.17448161981718,-0.59372636129223,3.76820798110941,239.19843,-21.618155,17.7891006469727,17.2024002075195,16.9108009338379,16.7544002532959,16.6310005187988,17.202435,17.677015,16.533445,2.05467536496204,-4.31331690388511,1,1,-999,"False",-154779.248764053,97453.0460898881,1,-150537.61,101607.78,NA,"P",-0.666095619469026,0.449591946902655
9,"6243174704972335232",160.95014,-137.3175,211.568058487735,0.255343428777371,2.43526230743249,4.10326642852447,240.6155,-22.624407,17.5548000335693,17.0401000976563,16.8104000091553,16.717399597168,16.6329002380371,17.06563,17.465246,16.44454,-5.79964783496578,-2.71056719235492,1,1,-999,"False",165478.571235952,-129959.905910113,1,160950.14,-137317.5,NA,"P",0.712168761061947,-0.607599557522124
10,"6243560629250565376",53.74145,80.53697,96.8212114408997,3.36637338003717,4.12395551846501,5.52560316875175,240.131,-21.704313,18.4193992614746,17.8246002197266,17.56130027771,17.449800491333,17.3544998168945,17.867262,18.34693,17.191496,-4.37112490940923,-3.11045472545864,1,1,-999,"False",55981.5712359463,77981.3380898879,1,53741.45,80536.97,NA,"P",0.237794026548673,0.356358274336283
11,"6237392059780633856",-51.69329,-151.25599,159.84545893426,2.24086566649637,1.24148078699441,0.999384879501954,239.64546,-22.691166,18.6550998687744,17.9339008331299,17.5729999542236,17.3934001922607,17.253999710083,17.943756,18.5408,17.175158,-3.02787807856518,-3.82236333902773,1,1,-999,"False",-53750.4687640441,-145047.439910112,1,-51693.29,-151255.99,NA,"P",-0.228731371681416,-0.669274292035398
12,"6243499060900054272",-139.75679,43.42477,146.347774156825,-0.893390111109445,-0.301259410329584,5.69105460639973,239.24268,-21.863352,17.5053005218506,16.8871994018555,16.5881996154785,16.4627990722656,16.3617992401123,16.895838,17.391605,16.21104,-4.34602564119032,-0.0669876259009324,1,1,-999,"False",-144778.748764052,42038.5240898879,1,-139756.79,43424.77,NA,"P",-0.618392876106195,0.192145
13,"6237195560738377216",-31.4704,-215.81741,218.099840750213,-0.973248551503397,1.42599731403409,3.8839394416421,239.73997,-22.954172,17.0524997711182,16.3971996307373,16.0891990661621,15.9413995742798,15.8285999298096,16.411232,16.94597,15.720578,-3.8821302256115,-6.17561447842665,1,1,-999,"False",-32391.208764041,-204486.795910112,1,-31470.4,-215817.41,NA,"P",-0.139249557522124,-0.954944292035398
