#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,15 59 56.32,-22 00 55.2 #Field centre
#UTTIME,12 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,240_m20_comissioning Tile 004
#TILING_DATE,2021 06 07 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","pmRA","pmDEC","priority","remaining_observations","Tile_number","COMPLETED","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","Position","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
1,"6243350077076498688",116.58444,7.75182,116.841869051406,4.07510436498521,3.20798596010629,0.86711840487892,240.52162,-21.98137,16.444299697876,15.8968000411987,15.6438999176025,15.539999961853,15.4375,15.903899,16.361235,15.274151,4.93090453243647,-7.86786902597978,1,1,-999,"False",121350.575824177,7673.16193406542,1,116584.44,7751.82,NA,"P",0.515860353982301,0.0343000884955752
2,"6246639231749168000",-80.04013,187.88501,204.223405595727,0.57450102476676,-1.16807394909189,1.74257497385865,239.62314,-21.223742,17.9281005859375,17.1576995849609,16.8470001220703,16.6648998260498,16.5534000396729,17.19704,17.789295,16.455923,1.8553517503444,1.99804651519139,1,1,-999,"False",-81705.9041758305,178897.089934066,1,-80040.13,187885.01,NA,"P",-0.354159867256637,0.831349601769912
3,"6243426699291258240",-27.94986,-38.14068,47.2853692476013,3.73584079541951,0.938388094417688,2.79745270100182,239.85497,-22.17915,18.4505996704102,17.8017997741699,17.5249996185303,17.4030990600586,17.2765007019043,17.836563,18.348148,17.163042,-5.94812210992522,2.91003290963802,1,1,-999,"False",-29312.3241758236,-37025.1180659341,1,-27949.86,-38140.68,NA,"P",-0.123671946902655,-0.16876407079646
4,"6246640228181571584",-45.21148,198.77891,203.855667040626,2.7995580358863,-1.34715491197414,4.14671294786044,239.78052,-21.17809,17.3372001647949,16.8374996185303,16.6198997497559,16.5249996185303,16.4484996795654,16.849222,17.284506,16.251091,-7.79898929002937,-0.905740485019211,1,1,-999,"False",-46138.0241758201,189214.441934066,1,-45211.48,198778.91,NA,"P",-0.200050796460177,0.879552699115044
5,"6243197004442587648",96.27281,-158.02125,185.038291704335,4.33466247874608,2.11798199779993,2.21668048094615,240.42528,-22.682076,14.9630002975464,14.4804000854492,14.2792997360229,14.1688003540039,14.0803003311157,14.524049,14.810827,13.8445215,-8.83471780825841,-10.6366790510657,1,1,-999,"False",99577.7358241714,-150686.394065935,1,96272.81,-158021.25,NA,"P",0.425985884955752,-0.69920907079646
6,"6243526136374490496",-106.17088,86.62624,137.026863120017,-0.180275846995363,-0.684369173644115,0.504093326648753,239.49803,-21.645514,15.1096000671387,14.2653999328613,13.8892002105713,13.6648998260498,13.5167999267578,14.265546,14.933168,13.482567,-0.619901260421178,-5.65251037597855,1,1,-999,"False",-109980.764175832,83576.6179340653,1,-106170.88,86626.24,NA,"P",-0.469782654867257,0.383301946902655
7,"6243425015664097280",-46.29106,-42.92564,63.1306011798811,-0.806665054179737,0.7476941786146,4.72882607438525,239.77011,-22.199377,18.2625007629395,17.6630992889404,17.3987007141113,17.2833995819092,17.1844997406006,17.690893,18.10731,17.038286,-1.23733037005704,0.68875371737339,1,1,-999,"False",-48490.6841758218,-41596.4200659338,1,-46291.06,-42925.64,NA,"P",-0.204827699115044,-0.189936460176991
8,"6243223598880148224",131.90806,-118.25976,177.158423813888,4.44314961932289,2.41069703614752,2.03245258317537,240.58865,-22.514475,17.0956001281738,16.4018001556396,16.1023006439209,15.9364004135132,15.8259000778198,16.42046,16.957653,15.706269,-2.6698085094841,-2.13671188536707,1,1,-999,"False",136499.355824175,-112808.568065934,1,131908.06,-118259.76,NA,"P",0.583663982300885,-0.523273274336283
9,"6243252564139920000",79.86349,-42.01746,90.2421408203047,3.8435039110432,2.65727118769501,1.18623272334819,240.35385,-22.194769,18.7136001586914,17.3325996398926,16.3745002746582,15.9055004119873,15.6504001617432,17.053514,18.236355,15.934769,-8.95843256499353,1.18301434303228,1,1,-999,"False",83434.5558241731,-40555.0120659344,1,79863.49,-42017.46,NA,"P",0.353378274336283,-0.18591796460177
10,"6243243664967647360",39.30002,-83.19234,92.0079181737963,3.73302786763177,2.01212075300117,1.7209071146306,240.16652,-22.371231,18.2919998168945,17.8080997467041,17.6018009185791,17.5016002655029,17.4279003143311,17.893549,18.120272,17.009161,-9.25431229013332,-11.8417911748312,1,1,-999,"False",41097.9758241789,-80435.4240659337,1,39300.02,-83192.34,NA,"P",0.17389389380531,-0.368107699115044
11,"6243356674146874752",195.26906,45.5615,200.513979750873,0.947392506459175,3.37081836702128,3.85975944661748,240.8706,-21.821096,17.6263999938965,17.096700668335,16.8631000518799,16.7649002075195,16.6758003234863,17.113861,17.539461,16.489302,-4.67805791178645,-12.901940728825,1,1,-999,"False",200220.055824174,43895.0859340657,1,195269.06,45561.5,NA,"P",0.864022389380531,0.201599557522124
12,"6243444016599320192",70.55017,-4.09102,70.6686842361544,3.89364866287841,3.0836701308389,0.809978532039508,240.31105,-22.03256,17.7429008483887,17.1138000488281,16.7982006072998,16.6320991516113,16.5233001708984,17.126781,17.64804,16.420609,-2.58619979129202,-3.6691983133819,1,1,-999,"False",73761.7558241732,-3895.77806593419,1,70550.17,-4091.02,NA,"P",0.31216889380531,-0.0181018584070796
13,"6243398794881374848",-23.95794,-125.68421,127.947268561575,1.80523020792002,1.3824359285485,0.422794279371522,239.87404,-22.551182,16.5758991241455,16.0182991027832,15.7818002700806,15.6676998138428,15.5858001708984,16.037931,16.487587,15.408717,4.53936542796138,-6.76646195018337,1,1,-999,"False",-25002.5041758302,-121104.350065934,1,-23957.94,-125684.21,NA,"P",-0.106008584070796,-0.55612482300885
14,"6246522271198769280",-172.08365,116.58285,207.856545510227,2.92639063869277,-0.595449925162418,3.52184056385519,239.20644,-21.52297,19.301700592041,17.8852005004883,16.906099319458,16.4375,16.1616992950439,17.6024,18.744709,16.454502,-16.2080993775597,-5.34792863443373,1,1,-999,"False",-175880.104175829,111271.561934066,1,-172083.65,116582.85,NA,"P",-0.761432079646018,0.515853318584071
15,"6237407972639200128",-123.69814,-133.9111,182.300336101362,2.50164355256521,0.825022574145567,1.67662097841964,239.41841,-22.580317,17.8724994659424,17.2504005432129,16.9871997833252,16.8462009429932,16.7541007995605,17.27963,17.75313,16.59495,-3.9555802410455,-0.319423528216867,1,1,-999,"False",-127974.88417582,-127688.860065934,1,-123698.14,-133911.1,NA,"P",-0.547336902654867,-0.592526991150442
16,"6243479510209815936",-64.14224,3.10759,64.2174747854951,3.54166995995777,-0.0484105636047332,3.5900805235625,239.68779,-22.001703,18.3376998901367,17.5349006652832,17.1702995300293,16.9708995819092,16.8257999420166,17.557644,18.17881,16.787066,-0.00751554807823163,-10.2220941081664,1,1,-999,"False",-67095.0041758305,3077.90393406604,1,-64142.24,3107.59,NA,"P",-0.283815221238938,0.0137503982300885
17,"6243226347659334656",74.19275,-114.17938,136.167158190758,0.984990672900613,2.14702471047434,5.12115126960586,240.32663,-22.501207,16.7583999633789,15.9561996459961,15.6069002151489,15.4210996627808,15.2896003723145,15.971109,16.576742,15.214188,0.357476916800086,-6.75854004372753,1,1,-999,"False",77282.8358241732,-109810.000065934,1,74192.75,-114179.38,NA,"P",0.328286504424779,-0.505218495575221
18,"6243536787893395840",-41.30974,136.67263,142.779208605401,3.04205147931686,-1.27727365889575,4.3193251382126,239.79578,-21.433416,18.2371997833252,17.3850002288818,16.9890003204346,16.8178005218506,16.646900177002,17.397148,18.044527,16.610966,-15.3465415839839,-4.09931170691485,1,1,-999,"False",-42689.2641758303,131510.765934066,1,-41309.74,136672.63,NA,"P",-0.182786460176991,0.604746150442478
19,"6243140929349457280",67.00631,-206.10454,216.723157480754,4.50943254988519,1.88512623511225,2.62430631477293,240.28964,-22.879421,17.5914001464844,16.9186992645264,16.609899520874,16.4451999664307,16.3229999542236,16.938427,17.4764,16.224419,0.172447284186392,-7.11124479288785,1,1,-999,"False",68923.0958241725,-195286.364065934,1,67006.31,-206104.54,NA,"P",0.296488097345133,-0.911966991150443
20,"6246492790542494848",-201.24642,4.09123,201.288001941818,4.41796839828345,-0.0203266548676666,4.43829505315111,239.07031,-21.995502,15.9406003952026,15.7441997528076,15.7137002944946,15.7135000228882,15.6552000045776,15.730034,15.952717,15.350487,-3.94638379685808,0.126823196988606,1,NA,NA,"",-206645.484175824,4479.32993406621,0,-201246.42,4091.23,NA,"P",-0.890470884955752,0.0181027876106195
21,"6237466624712874112",-157.78923,-58.99011,168.455555508879,4.92946434654561,0.357765441739035,4.57169890480657,239.2619,-22.263756,15.9068002700806,15.6077995300293,15.5130996704102,15.4772996902466,15.4285001754761,15.611744,15.885537,15.147994,-2.58136463474449,-2.44543988826352,1,NA,NA,"",-163346.144175826,-56146.0740659343,0,-157789.23,-58990.11,NA,"P",-0.698182433628319,-0.261018185840708
NA,"Sky-A1-1",-226.46104,82.44066,NA,NA,NA,NA,238.9695944,-21.668735502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-226461.04,82440.66,1,"S",-1.00204,0.364781681415929
NA,"Sky-A1-2",-222.23219,93.24117,NA,NA,NA,NA,238.9888439,-21.623856679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-222232.19,93241.17,1,"S",-0.983328274336283,0.412571548672566
NA,"Sky-A1-3",-217.48859,103.8257,NA,NA,NA,NA,239.0103825,-21.579887643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-217488.59,103825.7,1,"S",-0.96233889380531,0.459405752212389
