#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,16 00 29.89,-22 05 13.2 #Field centre
#UTTIME,12 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,240_m20_comissioning Tile 007
#TILING_DATE,2021 06 07 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","pmRA","pmDEC","priority","remaining_observations","Tile_number","COMPLETED","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","Position","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
1,"6243349699119376512",81.85638,21.51791,84.6373877046811,3.81841752138553,3.39865079612236,0.419766725263175,240.50264,-21.99442,15.9872999191284,15.1946001052856,14.8133001327515,14.6061000823975,14.4718999862671,15.189774,15.814717,14.421877,-8.62076608655353,-2.55520616630896,1,1,-999,"False",85454.7743529312,20922.0829411759,1,81856.38,21517.91,NA,"P",0.362196371681416,0.0952119911504425
2,"6243536478655791104",-94.13338,150.06775,177.148025166206,0.349870598404277,-1.01056448808681,1.36043508649109,239.69638,-21.451113,17.7672004699707,17.1681995391846,16.8894996643066,16.7616996765137,16.6567001342773,17.186533,17.669401,16.519402,-5.70839425649882,-4.84392954642994,1,1,-999,"False",-96759.9856470708,143709.464941176,1,-94133.38,150067.75,NA,"P",-0.416519380530973,0.664016592920354
3,"6243461196468636032",26.12998,53.14816,59.22417383287,1.47746216036277,4.25544839771957,3.50519906982279,240.2454,-21.858786,18.511999130249,17.7936992645264,17.4768009185791,17.3318996429443,17.2311992645264,17.826895,18.41233,17.109215,-8.92069562609642,-2.91239959104615,1,1,-999,"False",27318.5343529321,51575.3669411766,1,26129.98,53148.16,NA,"P",0.115619380530973,0.235168849557522
4,"6243492979226360704",-196.5646,43.22888,201.261963716979,2.28782613212696,-0.216475904862422,2.50430203698938,239.23195,-21.902401,17.8953990936279,17.054500579834,16.6536998748779,16.4368991851807,16.2975997924805,17.056883,17.710443,16.258532,-5.85229866502959,-5.20895997831546,1,1,-999,"False",-201721.165647063,41718.376941176,1,-196564.6,43228.88,NA,"P",-0.869754867256637,0.191278230088496
5,"6243247375819323776",77.84671,-45.55767,90.1976249889818,1.16349916472126,2.61210960309937,4.83457486880148,240.4846,-22.281614,17.0130004882813,16.37619972229,16.113000869751,15.9609003067017,15.8729000091553,16.38899,16.882633,15.720004,0.542557410297177,-0.0390842528900147,1,1,-999,"False",81377.7343529346,-43983.761058824,1,77846.71,-45557.67,NA,"P",0.344454469026549,-0.201582610619469
6,"6243440924222820352",33.89576,-7.2483,34.6620887839669,1.4170680321839,2.93092464000717,4.76932869935631,240.28192,-22.11811,17.486499786377,16.9447002410889,16.7061004638672,16.5909004211426,16.5116996765137,16.963907,17.400488,16.332142,-5.64665440367947,-5.45440223745613,1,1,-999,"False",35572.0543529376,-7031.85705882405,1,33895.76,-7248.3,NA,"P",0.149981238938053,-0.0320721238938053
7,"6243465040458433280",-1.73078,63.26609,63.2897601772712,-0.250967076692609,-1.54344599719578,1.29247892050317,240.11653,-21.815464,17.8022994995117,17.1744995117188,16.8514995574951,16.6828002929688,16.5620002746582,17.176731,17.704103,16.455425,-3.81587459042872,-3.38057919489692,1,1,-999,"False",-1806.08564706927,61366.1389411758,1,-1730.78,63266.09,NA,"P",-0.0076583185840708,0.279938451327434
8,"6243595027651087488",107.29531,164.72359,196.586227011162,2.61232506188081,4.13505423103071,4.76045613802969,240.61049,-21.391655,18.3295001983643,17.6446990966797,17.3278007507324,17.1816997528076,17.0499000549316,17.673475,18.212894,16.936386,-0.525880070046462,-2.23137067833525,1,1,-999,"False",109828.874352934,157146.972941176,1,107295.31,164723.59,NA,"P",0.474758008849558,0.728865442477876
9,"6243608080049354496",-1.51244,108.29425,108.30481087106,-0.024225561632619,-1.55683121158519,1.53260564995257,240.11758,-21.623837,17.6131992340088,17.0765991210938,16.8509006500244,16.7483997344971,16.6877002716064,17.103146,17.534147,16.48283,-5.28536682944316,-1.49672943082531,1,1,-999,"False",-1568.78564707102,104673.840941177,1,-1512.44,108294.25,NA,"P",-0.00669221238938053,0.479178097345133
10,"6243149450564642560",60.64609,-153.94235,165.45753339093,0.87117988732246,1.94607914931676,5.20828604518529,240.40327,-22.739408,17.4095001220703,16.8267002105713,16.5879993438721,16.4979000091553,16.4235992431641,16.86571,17.312683,16.22608,-6.87896535716211,-2.76889900909335,1,1,-999,"False",62997.1543529392,-147445.205058823,1,60646.09,-153942.35,NA,"P",0.268345530973451,-0.681160840707965
