# Robot File 
# Label, 300_m20_comissioning Tile 0
# Date and Time file was created/configured: 08-June-21 13:29:26
# Radial Offset Adjustment, -9999
# Radial offset is in millimetre(mm) with +ve values actioning radial outward movement 
# and -ve values actioning radial inward movement of the magnets. 
# Temp1, -9999
# Temp2, -9999
# Temp1 is the temperature the distortion code assumed the field would be observed at, 
# and Temp2 is the actual temperature it is going to be observed at in degrees C. 
# Radial Scale factor, 1.0
# Radial scale factor is thermal coefficient of invar times temperature difference 
# applied radially relative to the plate centre.

Magnet,Label,Center_x,Center_y,rot_holdingPosition,rot_platePlacing,order,Pickup_option,Magnet_title,rePosition_magnets,ID,Index,Hexabundle,probe_orientation,rectMag_inputOrientat
circular_magnet,Gre,210.820120709429,382.2129885335871,90,214.69649270154196,1,TR,Gre04,[R04_R05_R13],6865814017923310592,4,NA,0,5.41389048404816
circular_magnet,Gre,262.6686775710216,367.6585492440305,90,225.34070085713722,2,TR,Gre01,[0],6864305895989728256,1,NA,0,5.5445592258857
circular_magnet,Mag,533.149015903764,271.36999772017026,90,7.991088430679071,2,TR,Mag02,[0],6864086509060773888,2,NA,0,4.58472183147182
circular_magnet,Mag,122.27147038601882,292.40022124645907,270,357.90290894818304,2,TL,Mag03,[0],6866037974698141696,3,NA,0,1.99858356476486
circular_magnet,Gre,220.309271290869,353.85144520509647,90,206.25451759840203,2,TR,Gre05,[0],6864324179668913152,5,NA,0,4.89108323919878
circular_magnet,Gre,349.08917976614015,205.2200335412138,90,78.30486893382962,2,TR,Gre06,[0],6864278962252930048,6,NA,0,5.50691478795163
circular_magnet,Gre,272.4422846332944,164.2152439728779,90,112.7920832983424,2,TR,Gre07,[0],6864490824399758336,7,NA,0,5.92998236273592
circular_magnet,Blu,380.5969602306368,237.78337532665665,90,50.58325381164917,2,TR,Blu08,[0],6864264599882161152,8,NA,0,4.4367714200177595
circular_magnet,Blu,361.5345073904572,289.41628494757737,90,18.249817204995836,2,TR,Blu09,[0],6864269032288680960,9,NA,0,4.3664059550363
circular_magnet,Gre,225.10538401781187,312.472590396663,270,6.8267222730560775,2,TL,Gre10,[0],6864326344332317696,10,NA,0,1.64866399556169
circular_magnet,Blu,375.33782488408275,363.10401606004586,270,126.01525861394694,2,TL,Blu11,[0],6864218660911720448,11,NA,0,1.50373308021298
circular_magnet,Mag,501.37622284664553,425.61787890363297,90,323.82785821600413,2,TR,Mag12,[0],6852164062101265408,12,NA,0,4.48790465039359
circular_magnet,Gre,194.49931182992017,354.75869872222904,90,202.06528928954378,2,TR,Gre13,[0],6865830093983887360,13,NA,0,5.2076611398237995
circular_magnet,Blu,337.84695719396177,369.5663336174956,180,6.855720305180654,2,RO,Blu14,[0],6864244430715564032,14,NA,0,0.885650453550412
circular_magnet,Yel,500.4565018178291,349.64636151572563,90,343.81653630808216,2,TR,Yel15,[0],6852084691105924096,15,NA,0,2.3840234793437998
circular_magnet,Gre,243.96166082015893,221.7023893206961,90,137.54678905505494,2,TR,Gre16,[0],6864486838670057472,16,NA,0,0.600159531141396
circular_magnet,Gre,469.17149111074167,313.71933476314126,90,354.3917595808506,2,TR,Gre17,[0],6864097096158548992,17,NA,0,6.07532013739118
circular_magnet,Gre,438.1487065685897,265.9106141880266,90,17.41749837799341,2,TR,Gre18,[0],6864114168650849280,18,NA,0,5.96996667873836
circular_magnet,Gre,431.32304753705995,309.4316719045288,90,354.69683672314545,2,TR,Gre19,[0],6864207700155176960,19,NA,0,5.4179187275601395
circular_magnet,Mag,351.400005683253,499.2247658444603,270,96.28406194219335,2,TL,Mag20,[0],6852225493016163328,20,NA,0,1.70648009050867
circular_magnet,Mag,440.21455569675345,134.37633467821058,90,56.23394080701859,2,TR,Mag21,[0],6864148807564518400,21,NA,0,4.2568214771725
circular_magnet,Mag,400.7728551902015,113.70691923258411,0,339.0575241929303,2,RI,Mag22,[0],-999999,22,NA,0,4.40139677438901
circular_magnet,Mag,122.46143504893192,318.8866643893067,90,185.20388214398724,2,TR,Mag23,[0],-999999,23,NA,0,4.3144912870069305
circular_magnet,Mag,209.43375984183496,132.238223513529,90,125.58415522701534,2,TR,Mag24,[0],-999999,24,NA,0,3.74323194439635
circular_magnet,Mag,232.5225351565714,474.23740551125275,90,240.90205275907408,2,TR,Mag25,[0],-999999,25,NA,0,3.87092110754641
circular_magnet,Yel,285.2006203519109,472.34380339307967,180,345.581802820477,2,RO,Yel26,[0],-999999,26,NA,0,4.04226151999306
circular_magnet,Yel,358.4604475252138,466.39887433427043,90,279.85592892816777,2,TR,Yel27,[0],-999999,27,NA,0,4.45290560663734
rectangular_magnet,R01,261.56596858259394,394.80069548069844,180,-2.3391420464362227,2,I,R01,[0],6864305895989728256,1,A,87.66085795356406,5.5445592258857
rectangular_magnet,R02,525.9738718648177,245.17538458878371,180,-164.69412275414527,2,I,R02,[0],6864086509060773888,2,B,-74.69412275414561,4.58472183147182
rectangular_magnet,R03,134.44140828354884,268.0919579915726,180,153.39250568294554,2,I,R03,[0],6866037974698141696,3,C,-116.60749431705462,1.99858356476486
rectangular_magnet,R04,208.2259203226638,409.2342820336955,180,-5.496582780455924,2,I,R04,[0],6865814017923310592,4,D,84.5034172195443,5.41389048404816
rectangular_magnet,R05,227.82096862246516,379.9983615729948,180,16.01609074513624,2,I,R05,[0],6864324179668913152,5,I,106.01609074513598,4.89108323919878
rectangular_magnet,R06,334.38553268802946,182.38490315654116,180,-147.2181065539795,2,I,R06,[0],6864278962252930048,6,J,-57.21810655397951,5.50691478795163
rectangular_magnet,R07,253.87828621746831,144.32074034488008,180,-136.97087867344192,2,I,R07,[0],6864490824399758336,7,K,-46.97087867344186,5.92998236273592
rectangular_magnet,R08,355.7012419838889,226.90030164041312,180,-113.62502321963353,2,I,R08,[0],6864264599882161152,8,L,-23.62502321963359,4.4367714200177595
rectangular_magnet,R09,344.76781386322074,268.0220347657081,180,-141.92681565937363,2,I,R09,[0],6864269032288680960,9,M,-51.92681565937329,4.3664059550363
rectangular_magnet,R10,223.97791263865957,285.3214528797668,180,182.36523349219618,2,I,R10,[0],6864326344332317696,10,N,-87.63476650780368,1.64866399556169
rectangular_magnet,R11,354.48375244921573,380.5223995911207,180,309.8576996035359,2,I,R11,[0],6864218660911720448,11,O,39.85769960353571,1.50373308021298
rectangular_magnet,R12,512.1220274189889,400.6734923357441,180,156.68986289131618,2,I,R12,[0],6852164062101265408,12,P,-113.31013710868399,4.48790465039359
rectangular_magnet,R13,191.51842885596855,381.754157132455,180,-6.311715156647665,2,I,R13,[0],6865830093983887360,13,Q,83.68828484335228,5.2076611398237995
rectangular_magnet,R14,319.0061084652,389.15863700072754,180,316.11168719289486,2,I,R14,[0],6864244430715564032,14,R,46.11168719289509,0.885650453550412
rectangular_magnet,R15,476.3136318238012,362.06923404799403,180,297.2220526815884,2,I,R15,[0],6852084691105924096,15,S,27.222052681588252,2.3840234793437998
rectangular_magnet,R16,237.77434169555346,195.26626364995573,180,193.16018088610264,2,I,R16,[0],6864486838670057472,16,T,-76.83981911389735,0.600159531141396
rectangular_magnet,R17,496.198076892994,310.7287922769644,180,96.30155651749658,2,I,R17,[0],6864097096158548992,17,E,-173.69844348250354,6.07532013739118
rectangular_magnet,R18,460.3002405793062,250.18214933490717,180,-234.63639614744795,2,I,R18,[0],6864114168650849280,18,F,-144.63639614744807,5.96996667873836
rectangular_magnet,R19,450.7671955638632,290.4608635129438,180,134.2729598890602,2,I,R19,[0],6864207700155176960,19,G,-135.72704011093987,5.4179187275601395
rectangular_magnet,R20,324.2484974614152,498.52450129820284,180,268.50995493294386,2,I,R20,[0],6852225493016163328,20,H,-1.4900450670559735,1.70648009050867
rectangular_magnet,R21,413.2710601485177,130.75673958850217,180,-97.66396397561039,2,I,R21,[0],6864148807564518400,21,U,-7.663963975610386,4.2568214771725
rectangular_magnet,R22,373.6343794142091,112.23179041832933,180,-93.12393494205406,2,I,R22,[0],-999999,22,GS1,-3.1239349420541203,4.40139677438901
rectangular_magnet,R23,135.22278611609116,342.8727365719242,180,28.00174065252338,2,I,R23,[0],-999999,23,GS2,118.0017406525233,4.3144912870069305
rectangular_magnet,R24,209.9672983123882,159.39752037751774,180,1.1127630745556303,2,I,R24,[0],-999999,24,GS3,91.11276307455569,3.74323194439635
rectangular_magnet,R25,258.2197899847443,465.34746925146897,180,109.11461046855857,2,I,R25,[0],-999999,25,GS4,-160.8853895314413,3.87092110754641
rectangular_magnet,R26,310.0397218755594,461.30746839880135,180,113.97727803673757,2,I,R26,[0],-999999,26,GS5,-156.0227219632622,4.04226151999306
rectangular_magnet,R27,383.11891195530313,455.0385270549719,180,114.72323109770667,2,I,R27,[0],-999999,27,GS6,-155.27676890229327,4.45290560663734
