# Robot File 
# Label, 300_m20_comissioning_within_half_radius Tile 0
# Date and Time file was created/configured: 16-June-21 10:29:15
# Radial Offset Adjustment, -9999
# Radial offset is in millimetre(mm) with +ve values actioning radial outward movement 
# and -ve values actioning radial inward movement of the magnets. 
# Temp1, -9999
# Temp2, -9999
# Temp1 is the temperature the distortion code assumed the field would be observed at, 
# and Temp2 is the actual temperature it is going to be observed at in degrees C. 
# Radial Scale factor, 1.0
# Radial scale factor is thermal coefficient of invar times temperature difference 
# applied radially relative to the plate centre.

Magnet,Label,Center_x,Center_y,rot_holdingPosition,rot_platePlacing,order,Pickup_option,Magnet_title,rePosition_magnets,ID,Index,Hexabundle,rectMag_inputOrientation
circular_magnet,Gre,241.41736922579724,343.80062590291885,270,26.45778369214719,1,TL,Gre01,[0],6864320812414324736,1,NA,1.92894013060284
circular_magnet,Yel,274.7334500031504,468.93284504678746,90,252.03117082551162,1,TR,Yel02,[0],6864259544702647296,2,NA,3.51709753874347
circular_magnet,Gre,393.1039165806101,231.09155979123685,90,47.282317943523225,1,TR,Gre03,[0],6864182273949717504,3,NA,4.4848821661441
circular_magnet,Blu,273.65576064311784,254.012758168578,90,140.54231192579,1,TR,Blu04,[0],6864484605287067648,4,NA,0.205845650940781
circular_magnet,Blu,395.3437194212443,266.1038747786615,90,27.24090755401842,1,TR,Blu05,[0],6864171244473904128,5,NA,4.35254581125502
circular_magnet,Gre,463.36834705505294,306.6035014487011,90,357.1730490516111,1,TR,Gre06,[0],6864112351881812992,6,NA,6.16227179019814
circular_magnet,Yel,267.37640520314324,436.4235886213363,90,245.51381473246772,1,TR,Yel07,[0],6864307274677608448,7,NA,0.281677938887208
circular_magnet,Mag,422.83807782148403,476.5589194399828,270,117.87036644864665,1,TL,Mag08,[0],6852214845794793472,8,NA,1.96464957918203
circular_magnet,Gre,422.7087951763353,385.01549850504153,90,317.6247439067436,1,TR,Gre09,[0],6864198148147904512,9,NA,4.97416683479116
circular_magnet,Gre,272.8164956439327,390.7265771778369,90,238.01094997181823,1,TR,Gre10,[0],6864303735624448000,10,NA,2.38917221516805
circular_magnet,Yel,464.8585643478434,393.4237410748578,90,325.37714866620155,1,TR,Yel11,[0],6864191379279344640,11,NA,4.82267942423255
circular_magnet,Yel,494.0824718849792,388.7079610648226,90,331.6641448404412,1,TR,Yel12,[0],6864095687409267712,12,NA,4.91434526004051
circular_magnet,Gre,394.52419926753805,378.38476179087354,90,309.6560045814938,1,TR,Gre13,[0],6864217423961202688,13,NA,4.9514036163097
circular_magnet,Gre,388.25224570362553,208.74500186583197,90,57.21675318062096,1,TR,Gre14,[0],6864185469405448192,14,NA,4.98877743482346
circular_magnet,Gre,330.48735933321575,443.2563573788742,270,90.41071005093866,1,TL,Gre15,[0],6864246526660028416,15,NA,0.890198046787364
circular_magnet,Gre,445.7345406109163,249.97714408996984,270,203.30359403548908,1,TL,Gre16,[0],6864158531370344448,16,NA,0.834378750041672
circular_magnet,Blu,357.3366270195846,314.62131902366576,90,332.2721257026284,1,TR,Blu17,[0],6864268138935234560,17,NA,3.63846918250554
circular_magnet,Gre,265.03579756441354,213.75527880809636,90,126.78526687941749,1,TR,Gre18,[0],6864492061350380544,18,NA,0.338034254435659
circular_magnet,Blu,309.622297956188,216.6945493604587,90,103.4163447412073,1,TR,Blu19,[0],6864475809194047488,19,NA,5.82561118315945
circular_magnet,Mag,121.99119390960965,263.85039321080274,270,350.12727237047324,1,TL,Mag20,[0],6864589917885825024,20,NA,1.93322880853649
circular_magnet,Mag,494.6482871902282,164.63460212556654,270,219.34341831499955,1,TL,Mag21,[0],6864133757999068160,21,NA,1.83504037303102
