#Label, 350_m20_comissioning_Tile_0
#Date_and_Time_file_created, 10-July-21 13:13:58
#Radial_Offset_Adjustment, -9999 #Radial offset is in millimetre(mm) with +ve values actioning radial outward movement and -ve values actioning radial inward movement of the magnets. 
#RobotTemp, 19.0000 #temperature (degrees C) the distortion code assumed the field would be observed at
#ObsTemp, 8.0000 #actual temperature (degrees C) it is going to be observed at
#Radial_Scale_factor, 1.0 #Radial scale factor is thermal coefficient of invar times temperature difference applied radially relative to the plate centre.


Magnet,Label,Center_x,Center_y,rot_holdingPosition,rot_platePlacing,order,Pickup_option,Magnet_title,rePosition_magnets,ID,Index,Hexabundle,rectMag_inputOrientation
circular_magnet,Yel,355.3100105232555,124.01556600948413,90,81.65643981674415,1,TR,Yel01,[0],2382337995959014912,1,A,4.71198881768667
circular_magnet,Yel,447.3375454042421,393.8817522670793,90,321.45549530049595,1,TR,Yel02,[0],2385491876343673344,2,B,4.89945041317856
circular_magnet,Yel,405.69335659415094,453.8147353508423,270,116.35188181969446,1,TL,Yel03,[0],2391502734613726208,3,C,1.80994178870555
circular_magnet,Yel,264.4807817931947,454.729747163325,90,247.20729437746,1,TR,Yel04,[0],2391469263933561856,4,D,3.65019857234183
circular_magnet,Yel,200.67835602430634,416.44216389808406,90,222.11049687161992,1,TR,Yel05,[0],2391449232206408704,5,I,5.25628225006946
circular_magnet,Gre,424.34393089877574,365.6843047631114,90,325.29540515359383,1,TR,Gre06,[0],2385475551172647936,6,J,5.21651111332018
circular_magnet,Blu,295.3130712749371,355.0244586492642,90,238.14714103617433,1,TR,Blu07,[0],2391418209657328128,7,K,6.23801483968098
circular_magnet,Gre,309.97538168181745,397.55307890866095,90,258.68215995619096,1,TR,Gre08,[0],2391438958643976192,8,L,0.693125210502702
circular_magnet,Gre,225.18730391462418,362.0113579188808,90,210.73045253116354,1,TR,Gre09,[0],2388419768434151424,9,M,5.3170424885883
circular_magnet,Gre,193.20947345132527,314.00629406289295,270,5.867569715308491,1,TL,Gre10,[0],2388399805425924096,10,N,1.78121665684913
circular_magnet,Mag,440.5547718517797,125.93919074036828,270,237.4611943824824,1,TL,Mag11,[0],2382261816123739136,11,O,1.78966606145524
circular_magnet,Blu,321.09192320219694,289.20773009051686,90,127.92155938314866,1,TR,Blu12,[0],2385404460874259456,12,P,0.146747943363684
circular_magnet,Gre,473.9011600422747,278.61537629730407,90,8.42380826478545,1,TR,Gre13,[0],2385392503685276672,13,Q,0.318478889789261
circular_magnet,Gre,399.02463273411973,236.64218997695022,270,222.34291773134808,1,TL,Gre14,[0],2385372235734637568,14,R,1.39915675603978
circular_magnet,Gre,232.54886736749415,232.18441695758708,270,325.027899264694,1,TL,Gre15,[0],2382380872617135104,15,S,1.13441819971106
circular_magnet,Yel,216.6329285090199,188.8916046491344,270,315.4498825293737,1,TL,Yel16,[0],2382327138281652736,16,T,0.793921603258029
circular_magnet,Yel,475.73921479940526,191.85867768203084,270,216.48227279753803,1,TL,Yel17,[0],2385365428211739648,17,E,1.50871847951875
circular_magnet,Gre,312.1056382770488,187.80832802578578,90,98.81305327111895,1,TR,Gre18,[0],2382373867525866496,18,F,5.5871138634556
circular_magnet,Yel,317.5912234211615,488.4235688586047,180,356.3835931091166,1,RO,Yel19,[0],2391521769908812288,19,G,1.43015811685252
circular_magnet,Mag,137.37728135196102,226.6272306914352,0,69.09785615041523,1,RI,Mag20,[0],2388329745918987264,20,H,1.77628575708758
circular_magnet,Mag,130.32145927583142,337.98657550467135,90,190.797567664861,1,TR,Mag21,[0],2388423277422274048,21,U,4.40376360350875
circular_magnet,Yel,391.43669732671333,153.29263469339037,90,67.11157382565379,1,TR,Yel22,[0],-999999,22,GS1,4.58913758601696
circular_magnet,Mag,191.28571125244716,458.44306416490446,270,48.90090470623201,1,TL,Mag23,[0],-999999,23,GS2,2.27210059553557
circular_magnet,Gre,395.85708716506053,175.70752854498414,270,241.9031968712119,1,TL,Gre24,[0],-999999,24,GS3,1.73922947953268
circular_magnet,Mag,129.00851798640582,253.45026142846297,270,346.92876415067053,1,TL,Mag25,[0],-999999,25,GS4,2.21836321850808
circular_magnet,Mag,330.65806726872034,499.60983060932176,0,180.3324065866228,1,RI,Mag26,[0],-999999,26,GS5,4.32208172632158
circular_magnet,Gre,360.5039960016191,167.68914629699412,90,76.81200017116674,1,TR,Gre27,[0],-999999,27,GS6,4.90049138440675
rectangular_magnet,R01,328.396324757498,120.0793853096101,180,-98.32063254954073,1,I,R01,[0],2382337995959014912,1,A,4.71198881768667
rectangular_magnet,R02,467.9471350208707,376.13112366316346,180,130.7376646917371,1,I,R02,[0],2385491876343673344,2,B,4.89945041317856
rectangular_magnet,R03,379.15359377479626,459.7713274547553,180,282.6498561625074,1,I,R03,[0],2391502734613726208,3,C,1.80994178870555
rectangular_magnet,R04,285.8952758853631,437.958955805238,180,128.06632179759467,1,I,R04,[0],2391469263933561856,4,D,3.65019857234183
rectangular_magnet,R05,205.84399008558313,443.1471489148366,180,10.947708013111878,1,I,R05,[0],2391449232206408704,5,I,5.25628225006946
rectangular_magnet,R06,448.704897781441,353.58540842742497,180,116.41133457725721,1,I,R06,[0],2385475551172647936,6,J,5.21651111332018
rectangular_magnet,R07,282.01645132505894,378.7529204179609,180,-29.264781817522646,1,I,R07,[0],2391418209657328128,7,K,6.23801483968098
rectangular_magnet,R08,288.827756358555,414.659158038225,180,308.96901072026935,1,I,R08,[0],2391438958643976192,8,L,0.693125210502702
rectangular_magnet,R09,223.3308270075984,389.14792906362345,180,-3.9136415566822507,1,I,R09,[0],2388419768434151424,9,M,5.3170424885883
rectangular_magnet,R10,196.14168840586692,286.9648052824955,180,173.81137287945114,1,I,R10,[0],2388399805425924096,10,N,1.78121665684913
rectangular_magnet,R11,459.761499394758,145.19903542016255,180,44.920882323296496,1,I,R11,[0],2382261816123739136,11,O,1.78966606145524
rectangular_magnet,R12,307.69241584724756,265.5372167322338,180,209.51352157618473,1,I,R12,[0],2385404460874259456,12,P,0.146747943363684
rectangular_magnet,R13,500.70233851883745,283.25615557102833,180,80.17631201584874,1,I,R13,[0],2385392503685276672,13,Q,0.318478889789261
rectangular_magnet,R14,420.5101961116346,253.3218352474825,180,52.17714073305331,1,I,R14,[0],2385372235734637568,14,R,1.39915675603978
rectangular_magnet,R15,237.2578265287927,205.39513358499158,180,170.0305242184213,1,I,R15,[0],2382380872617135104,15,S,1.13441819971106
rectangular_magnet,R16,216.65119353818926,161.69161078169557,180,179.96152539842888,1,I,R16,[0],2382327138281652736,16,T,0.793921603258029
rectangular_magnet,R17,493.23724259316566,212.68315902800413,180,40.039071447718925,1,I,R17,[0],2385365428211739648,17,E,1.50871847951875
rectangular_magnet,R18,291.672817640898,169.8545027829332,180,-131.30499076391868,1,I,R18,[0],2382373867525866496,18,F,5.5871138634556
rectangular_magnet,R19,290.4729096730208,490.5300017337291,180,274.4415689770896,1,I,R19,[0],2391521769908812288,19,G,1.43015811685252
rectangular_magnet,R20,152.06215746708958,203.73193830449839,180,147.32417906009675,1,I,R20,[0],2388329745918987264,20,H,1.77628575708758
rectangular_magnet,R21,143.29204106500168,361.8948169299716,180,28.4804992104867,1,I,R21,[0],2388423277422274048,21,U,4.40376360350875
rectangular_magnet,R22,365.26781439294814,145.87444313487055,180,-105.82664145797281,1,I,R22,[0],-999999,22,GS1,4.58913758601696
rectangular_magnet,R23,187.16244011055267,431.55740562563074,180,188.71912995288298,1,I,R23,[0],-999999,23,GS2,2.27210059553557
rectangular_magnet,R24,417.3646248071347,192.35882953243743,180,52.25268808925455,1,I,R24,[0],-999999,24,GS3,1.73922947953268
rectangular_magnet,R25,149.89795287862628,236.02982774030005,180,129.82591430309992,1,I,R25,[0],-999999,25,GS4,2.21836321850808
rectangular_magnet,R26,355.7519523642113,489.11521623745,180,112.69536495777936,1,I,R26,[0],-999999,26,GS5,4.32208172632158
rectangular_magnet,R27,335.6488973847899,156.64088522351759,180,-113.96547369556191,1,I,R27,[0],-999999,27,GS6,4.90049138440675
