#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,17 59 26.21,-21 51 41.2 #Field centre
#UTTIME,14 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,a test_label
#TILING_DATE,2021 06 15 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","pmRA","pmDEC","priority","remaining_observations","Tile_number","COMPLETED","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","SkyFibrePosition","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
1,"4070333634471981696",-16.41835,3.04006,16.6974303869218,1.64235723410474,-0.183088723273611,1.82544595737836,269.78284,-21.848316,19.074499130249,17.7325000762939,16.9603996276855,16.4951992034912,16.2021999359131,17.552135,18.707064,16.487682,-2.89425804108367,-5.50853624084021,1,1,-999,"False",-17252.5604123635,2969.93822680403,1,-16418.35,3040.06,NA,"P",-0.0726475663716814,0.013451592920354
2,"4070820443247244544",-23.28305,195.76585,197.14555141703,2.78026620498535,-1.4524192345624,4.23268543954774,269.754,-21.035776,19.0520000457764,17.0587997436523,16.0156993865967,15.3276996612549,14.9357004165649,16.648617,18.112087,15.332963,-1.72863813797359,-4.2158747270433,1,1,-999,"False",-23770.4004123641,186603.978226804,1,-23283.05,195765.85,NA,"P",-0.103022345132743,0.866220575221239
3,"4069942723729360640",54.32936,-17.05386,56.9430724400186,1.31641318968666,2.83743496213738,4.76216353472887,270.11063,-21.934496,19.2294998168945,17.7870006561279,16.9762001037598,16.4587993621826,16.1387996673584,17.590403,18.765192,16.462938,1.18252729585246,-1.13518903116808,1,1,-999,"False",56827.9795876349,-16506.7417731957,1,54329.36,-17053.86,NA,"P",0.240395398230089,-0.0754595575221239
4,"4069925479458588416",114.2664,-46.21782,123.25947044553,1.00462332068655,2.75723509843265,4.53057352943349,270.38522,-22.057846,20.2325000762939,17.9496994018555,16.6730003356934,15.8168001174927,15.2918996810913,17.305567,19.224298,15.920946,-2.71453429342512,-5.25978472495178,1,1,-999,"False",118885.319587632,-44383.8417731962,1,114266.4,-46217.82,NA,"P",0.505603539823009,-0.204503628318584
5,"4070748940633258240",59.5772,109.27352,124.459410785326,3.16895731881155,4.21322945027425,5.23891317571689,270.13226,-21.394917,19.0958995819092,17.800500869751,17.0389995574951,16.5699996948242,16.3206005096436,17.596832,18.708937,16.550102,-0.06953877821147,-3.04750799029127,1,1,-999,"False",61716.3595876257,105438.112226804,1,59577.2,109273.52,NA,"P",0.26361592920354,0.483511150442478
6,"4069932381447140864",123.55101,-22.7926,125.63580177155,4.22387750725304,2.95916443304193,1.26471307421112,270.4274,-21.957733,18.798999786377,17.0958995819092,16.1527004241943,15.5564002990723,15.1893997192383,16.767958,18.199785,15.597225,-1.76426878755653,-2.60387751291171,1,1,-999,"False",128417.999587626,-21758.3037731961,1,123551.01,-22792.6,NA,"P",0.546685884955752,-0.100852212389381
7,"4069479215170232192",67.29396,-201.52789,212.466391460705,4.05951622923457,1.89307374791762,2.16644248131695,270.1654,-22.707262,17.6833992004395,16.2518005371094,15.4833002090454,15.0037002563477,14.7005996704102,16.057446,17.172094,14.98688,0.416267163241802,-1.87837193444193,1,1,-999,"False",69205.9995876264,-191151.857773196,1,67293.96,-201527.89,NA,"P",0.297760884955752,-0.891716327433628
8,"4069879776690298624",187.61671,-69.94805,200.231764637948,4.66811556555123,2.78473089631541,1.88338466923582,270.71222,-22.153858,19.3787002563477,17.1707000732422,15.9448003768921,15.1308002471924,14.6225996017456,16.589115,18.339586,15.233846,0.276323359319178,-1.01708552627615,1,1,-999,"False",192787.319587632,-66082.5537731958,1,187616.71,-69948.05,NA,"P",0.830162433628319,-0.309504646017699
9,"4070394313770061568",-146.1667,22.3953,147.872423564977,2.14790080588794,-0.152035176298375,2.29993598218632,269.18948,-21.764776,16.5667991638184,15.6752996444702,15.1712999343872,14.8849000930786,14.6445999145508,15.587476,16.3091,14.684659,-1.26777816840198,-2.6058917934776,1,1,-999,"False",-151351.920412368,21849.9782268039,1,-146166.7,22395.3,NA,"P",-0.646755309734513,0.0990942477876106
10,"4070394146295030400",-159.45677,31.21725,162.483778256155,-1.2155250311633,-0.193327368020399,5.26098764403668,269.1306,-21.727318,17.7292995452881,16.6082000732422,15.9724998474121,15.5860996246338,15.3371000289917,16.481762,17.347683,15.397919,-0.886891850557859,0.594896191743076,1,1,-999,"False",-164658.800412365,30315.4862268041,1,-159456.77,31217.25,NA,"P",-0.70556092920354,0.138129424778761
