#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,16 00 04.56,-22 04 32.7 #Field centre
#UTTIME,14 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,240_m20_comissioning_within_half_radius Tile 002
#TILING_DATE,2021 06 16 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","pmRA","pmDEC","Re","GAL_MU_E_R","Mstar","priority","remaining_observations","Tile_number","COMPLETED","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","SkyFibrePosition","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
1,"6246502136392037376",-160.91815,66.59296,174.153016973534,-0.927318507905413,-0.392372718018701,5.74823951729287,239.28476,-21.79208,16.2556991577148,15.4895000457764,15.0989999771118,14.8868999481201,14.7670001983643,15.479677,16.104935,14.712505,-5.4873805024856,-2.62505331634555,1,19,-99,1,1,-999,"False",-165935.242040813,64107.9902040824,1,-160918.15,66592.96,NA,"P",-0.71202721238938,0.294659115044248
2,"6243439309315194496",30.3303,0.47522,30.334022683093,1.43766521609319,3.15725953186917,4.5635909914036,240.15988,-22.073631,18.4155006408691,17.9762992858887,17.7805004119873,17.7080001831055,17.6221008300781,17.998558,18.339338,17.404995,-1.14927827160458,-3.68851263702906,1,19,-99,1,1,-999,"False",31841.8779591828,477.464204082324,1,30330.3,475.22,NA,"P",0.134204867256637,0.00210274336283186
3,"6243494697213969024",-146.79039,32.08164,150.255283505911,2.08793978514323,-0.215170727851959,2.30311051299519,239.34572,-21.937937,18.4883995056152,17.4004993438721,16.9034996032715,16.6282005310059,16.4521999359131,17.391464,18.17234,16.502123,-1.34066417156302,-5.52007338848601,1,19,-99,1,1,-999,"False",-152158.282040814,31144.3082040817,1,-146790.39,32081.64,NA,"P",-0.649515,0.141954159292035
4,"6243225450002007680",77.51204,-104.72815,130.292370257756,1.00207971957197,2.20794814931257,5.07731687743899,240.37679,-22.521713,18.3703002929688,17.8411998748779,17.6060009002686,17.4960994720459,17.4440994262695,17.862347,18.2047,17.205555,6.97757480774442,-6.85264215863832,1,19,-99,1,1,-999,"False",80863.5379591857,-100789.067795918,1,77512.04,-104728.15,NA,"P",0.342973628318584,-0.46339889380531
5,"6243351859480635264",125.62213,34.51378,130.277091445984,3.98337384927646,3.40971976352776,0.573654085748703,240.59636,-21.927563,18.6439990997314,17.9979991912842,17.7001991271973,17.5496997833252,17.44700050354,18.027283,18.558575,17.315199,-5.91181425228333,-2.77937668477825,1,19,-99,1,1,-999,"False",130486.357959187,33488.8322040822,1,125622.13,34513.78,NA,"P",0.555850132743363,0.152715840707965
6,"6243570288639868416",98.28892,131.90173,164.495526297098,2.94997527219449,4.0719876690635,5.16117291031057,240.46716,-21.515501,17.0832996368408,16.5424995422363,16.3022994995117,16.2000999450684,16.1091003417969,16.560276,17.013083,15.931233,-2.78502852316401,-2.56909167615311,1,19,-99,1,1,-999,"False",101287.157959187,126614.844204082,1,98288.92,131901.73,NA,"P",0.434906725663717,0.583635973451327
7,"6246504679012259200",-138.85711,91.93948,166.53577687759,3.20445607195216,-0.584845350178943,3.7893014221311,239.38493,-21.68456,18.5834999084473,17.5809993743896,17.1082000732422,16.8635997772217,16.7021007537842,17.58017,18.331764,16.722403,-6.39264718094046,-2.54803071541084,1,19,-99,1,1,-999,"False",-143296.822040815,88407.5102040818,1,-138857.11,91939.48,NA,"P",-0.614411991150442,0.40681185840708
8,"6243445013031743232",47.93832,4.04232,48.10844910621,3.77690278143201,3.2257169990515,0.551185782380514,240.24126,-22.058214,18.4869995117188,17.847900390625,17.5590991973877,17.4367008209229,17.3143005371094,17.895344,18.283781,17.119944,-7.36338489429757,-7.64292177621349,1,19,-99,1,1,-999,"False",50233.7579591883,3961.70620408218,1,47938.32,4042.32,NA,"P",0.212116460176991,0.0178863716814159
9,"6243482052830242560",-117.30395,25.59986,120.064855464129,2.10840729956889,-0.214866429297659,2.32327372886655,239.47874,-21.965563,18.1546993255615,17.3078002929688,16.9556999206543,16.7602996826172,16.6478004455566,17.345407,17.962648,16.570147,0.027497912191523,-6.47325477191654,1,19,-99,1,1,-999,"False",-122095.762040817,24900.8322040822,1,-117303.95,25599.86,NA,"P",-0.519044026548673,0.113273716814159
10,"6237409553187639296",-105.3296,-97.68399,143.654051590897,2.25812854967494,0.747755370943103,1.51037317873183,239.53398,-22.490658,16.1870994567871,15.5825996398926,15.322699546814,15.2059001922607,15.1209001541138,15.605436,16.092136,14.954969,-4.58104729611923,-6.01325860213456,1,19,-99,1,1,-999,"False",-109611.522040811,-93770.6377959179,1,-105329.6,-97683.99,NA,"P",-0.46606017699115,-0.432230044247788
