#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,15 59 45.79,-22 01 08.6 #Field centre
#UTTIME,12 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,240_m20_comissioning_within_half_radius Tile 001
#TILING_DATE,2021 06 09 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","pmRA","pmDEC","Re","GAL_MU_E_R","Mstar","priority","remaining_observations","Tile_number","COMPLETED","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","Position","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
1,"6243243664967647360",48.76014,-82.28622,95.6481743406951,4.06726127995089,2.10573283228014,1.96152844767075,240.16652,-22.371231,18.2919998168945,17.8080997467041,17.6018009185791,17.5016002655029,17.4279003143311,17.893549,18.120272,17.009161,-9.25431229013332,-11.8417911748312,1,19,-99,1,1,-999,"False",51018.3930612217,-79589.0409387755,1,48760.14,-82286.22,NA,"P",0.215752831858407,-0.364098318584071
2,"6243456695342946048",6.8064,16.02745,17.412818108006,-0.446552564694542,4.31079667345936,1.52583606902569,239.97244,-21.949913,18.2716007232666,17.6284008026123,17.3509006500244,17.2120990753174,17.1254005432129,17.657503,18.18149,16.979422,-4.91364044520411,-4.88455054710134,1,19,-99,1,1,-999,"False",7156.31306122504,15628.8270612252,1,6806.4,16027.45,NA,"P",0.030116814159292,0.0709179203539823
3,"6243557575535919488",107.54923,70.07414,128.363631805634,3.07990516898016,3.71905960017156,5.64403087598819,240.4345,-21.719513,16.7238998413086,16.1571006774902,15.9103002548218,15.8002996444702,15.724100112915,16.178633,16.641712,15.541551,3.13499317481801,1.06783324736975,1,19,-99,1,1,-999,"False",111581.873061227,67699.2270612251,1,107549.23,70074.14,NA,"P",0.475881548672566,0.310062566371681
4,"6243345541591011968",158.06934,-11.07109,158.456572226663,4.16953425782542,3.07166739213055,1.09786686569487,240.66492,-22.064518,17.7754001617432,17.2136993408203,16.9762001037598,16.8633995056152,16.7740001678467,17.235485,17.6759,16.602417,1.07580837959568,-3.82466927042436,1,19,-99,1,1,-999,"False",163656.793061223,-10271.902938775,1,158069.34,-11071.09,NA,"P",0.69942185840708,-0.0489871238938053
5,"6243425634139330176",-6.48157,-44.26798,44.739968740996,1.60644675231728,1.42541269205727,0.181034060260014,239.91068,-22.209312,17.3372001647949,16.7752990722656,16.5347995758057,16.42799949646,16.3332996368408,16.801737,17.258743,16.16777,3.95422872389491,-2.71417514683974,1,19,-99,1,1,-999,"False",-6801.44693877327,-42995.3469387752,1,-6481.57,-44267.98,NA,"P",-0.0286795132743363,-0.195876017699115
6,"6243224251715217280",125.45599,-114.31751,169.728307949735,0.727381249242159,2.4026152919666,4.60795126445515,240.516,-22.502352,18.171199798584,17.601900100708,17.3302001953125,17.2206993103027,17.1063995361328,17.622355,18.021563,16.932425,-3.59324075828213,-2.4048546838336,1,19,-99,1,1,-999,"False",130000.873061222,-109222.386938775,1,125455.99,-114317.51,NA,"P",0.555115,-0.505829690265487
7,"6243465388356792064",50.67071,56.01832,75.5352436120153,3.05292576160245,3.97707223946253,5.35903882931951,240.17471,-21.77876,17.0615005493164,16.3460998535156,16.0084991455078,15.8339996337891,15.7088003158569,16.355001,16.929243,15.627925,-12.5467288358748,3.04053214302022,1,19,-99,1,1,-999,"False",52869.3330612247,54309.4050612253,1,50670.71,56018.32,NA,"P",0.224206681415929,0.247868672566372
8,"6243536478655791104",-53.44774,133.39568,143.704795862108,0.142384855477915,-1.18971189689934,1.33209675237725,239.69638,-21.451113,17.7672004699707,17.1681995391846,16.8894996643066,16.7616996765137,16.6567001342773,17.186533,17.669401,16.519402,-5.70839425649882,-4.84392954642994,1,19,-99,1,1,-999,"False",-55233.2469387752,128357.627061225,1,-53447.74,133395.68,NA,"P",-0.236494424778761,0.590246371681416
9,"6243506276445529728",-18.79901,46.65083,50.2961501177675,-0.406939754607343,-1.18772992409649,0.780790169489144,239.85378,-21.818607,14.6068000793457,14.0621995925903,13.8388996124268,13.753399848938,13.6900997161865,14.076831,14.519955,13.474467,-11.3068147110668,-8.09396526548024,1,19,-99,1,1,-999,"False",-19660.8469387762,45303.9830612249,1,-18799.01,46650.83,NA,"P",-0.0831814601769911,0.206419601769912
10,"6243248264868749056",109.86067,-53.44985,122.173046445897,1.00383602477644,2.68878386711428,4.59823746484174,240.44728,-22.2464,18.2476997375488,17.6408996582031,17.3747005462646,17.24880027771,17.1653003692627,17.662048,18.127525,16.992537,-2.598501596857,-4.01876743380159,1,19,-99,1,1,-999,"False",114470.153061225,-51377.2349387754,1,109860.67,-53449.85,NA,"P",0.486109159292035,-0.236503761061947
11,"6243493975659460864",-102.81574,17.14675,104.235730089591,-0.670750384354837,-0.165250815888903,5.77768573871365,239.46649,-21.944994,18.2339992523193,17.5398006439209,17.2191009521484,17.0615005493164,16.949800491333,17.557787,18.094553,16.83739,7.52708104344599,-5.43542435390579,1,19,-99,1,1,-999,"False",-107188.386938778,16740.5210612246,1,-102815.74,17146.75,NA,"P",-0.454936902654867,0.0758705752212389
12,"6243497342913660288",-99.59349,43.5281,108.690196153977,-0.515145255437034,-0.412039125225231,6.18007917696778,239.48195,-21.832254,17.4533996582031,16.6555004119873,16.2887992858887,16.1196994781494,15.9939002990723,16.674475,17.288109,15.921284,-2.99042574267588,1.1484723375535,1,19,-99,1,1,-999,"False",-103694.426938774,42219.7610612252,1,-99593.49,43528.1,NA,"P",-0.440679159292035,0.192602212389381
