#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,16 00 28.84,-22 01 29.5 #Field centre
#UTTIME,14 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,240_m20_comissioning_within_half_radius Tile 000
#TILING_DATE,2021 06 16 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","pmRA","pmDEC","Re","GAL_MU_E_R","Mstar","priority","remaining_observations","Tile_number","COMPLETED","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","SkyFibrePosition","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
1,"6243621347211122048",30.7575,147.49069,150.663623489302,2.93548195879825,4.50679688417189,4.71187038180595,240.26056,-21.397448,18.0839996337891,17.6011009216309,17.3936996459961,17.2992000579834,17.207799911499,17.632595,18.036106,17.019295,2.05263988262036,-3.58026786641432,1,19,-99,1,1,-999,"False",31727.3097959163,141794.258734694,1,30757.5,147490.69,NA,"P",0.136095132743363,0.652613672566372
2,"6243216555134433280",-19.4676,-120.7071,122.266886114639,1.25970745032111,1.41089359626957,6.13199916123113,240.03033,-22.539938,19.118200302124,17.8481006622314,17.3398990631104,16.9687004089355,16.7481994628906,18.120031,17.96574,16.536171,-27.7677841967274,-5.37997557890761,1,19,-99,1,1,-999,"False",-20304.6702040851,-116408.481265306,1,-19467.6,-120707.1,NA,"P",-0.0861398230088496,-0.534102212389381
3,"6243479544569036160",-96.69325,4.23179,96.7858080617536,-0.832235267118255,-0.0437371922675274,5.49468723232886,239.67348,-22.00615,17.3899002075195,16.551399230957,16.2005004882813,15.9822998046875,15.8510999679565,16.577934,17.20715,15.795944,-2.2773304449741,-6.40230670293845,1,19,-99,1,1,-999,"False",-100952.770204081,4227.60673469339,1,-96693.25,4231.79,NA,"P",-0.427846238938053,0.0187247345132743
4,"6243248406611528960",60.41505,-54.36122,81.2718924745259,3.62682278341908,2.40889027343549,1.21793250998359,240.39992,-22.257486,18.5249996185303,17.9433002471924,17.6809005737305,17.5597991943359,17.4592990875244,17.964966,18.392721,17.284416,0.857881199485061,-1.26001745843239,1,19,-99,1,1,-999,"False",63222.6697959186,-52574.3292653063,1,60415.05,-54361.22,NA,"P",0.267323230088496,-0.240536371681416
5,"6243569257847710080",54.30658,111.40722,123.938586805824,3.15285532612375,4.25882348398663,5.1772171493167,240.3693,-21.54917,16.9545001983643,16.4825992584229,16.2742004394531,16.1833000183105,16.1240997314453,16.497072,16.891397,15.914684,-10.2809017510544,-8.77156822836077,1,19,-99,1,1,-999,"False",56302.5497959189,107505.086734694,1,54306.58,111407.22,NA,"P",0.240294601769912,0.492952300884956
6,"6243234147319938560",93.6548,-82.31669,124.688648302867,3.93042109044719,2.42053706757137,1.50988402287581,240.55235,-22.375408,16.9153995513916,16.2007007598877,15.8632001876831,15.6764001846313,15.552300453186,16.204702,16.782507,15.468834,-9.77992944101862,-7.38163098542123,1,19,-99,1,1,-999,"False",97671.8497959144,-79224.7012653063,1,93654.8,-82316.69,NA,"P",0.414401769911504,-0.36423314159292
7,"6243519573664395904",-39.60534,112.04444,118.838291351858,-0.00612074105873539,-1.231025675612,1.22490493455327,239.93816,-21.546179,16.3733997344971,15.7666997909546,15.4596996307373,15.3374996185303,15.2323999404907,15.764437,16.271513,15.093054,-5.02725995216822,-5.9338409196393,1,19,-99,1,1,-999,"False",-41135.0902040809,108181.052734694,1,-39605.34,112044.44,NA,"P",-0.175244867256637,0.49577185840708
8,"6246634554525436288",-84.37773,166.0901,186.294183049184,0.676662661584513,-1.10075027130067,1.77741293288518,239.7372,-21.322569,18.1947002410889,17.5389003753662,17.2369995117188,17.0851001739502,16.9841003417969,17.564903,18.09607,16.867342,-0.469830661810234,-1.02968726582209,1,19,-99,1,1,-999,"False",-86552.050204083,158716.912734693,1,-84377.73,166090.1,NA,"P",-0.373352787610619,0.734911946902655
9,"6243508063151966720",-97.83569,40.05741,105.718580834611,-0.640408260786266,-0.388613918708272,6.03139096510159,239.6691,-21.852888,16.906400680542,16.0300006866455,15.6586999893188,15.4651002883911,15.3399000167847,16.048328,16.703938,15.268154,8.49726413018865,-2.05100513342228,1,19,-99,1,1,-999,"False",-101942.650204086,38864.8187346937,1,-97835.69,40057.41,NA,"P",-0.432901283185841,0.17724517699115
10,"6243227103573604864",56.00815,-97.95714,112.838442666505,2.49717590304924,2.09019360275665,0.406982300292589,240.37921,-22.443163,18.3111991882324,17.168399810791,16.6567993164063,16.3740005493164,16.1879005432129,17.159723,17.950457,16.244429,0.901343722484584,-4.13049375684537,1,19,-99,1,1,-999,"False",58542.2097959168,-94537.3312653059,1,56008.15,-97957.14,NA,"P",0.247823672566372,-0.433438672566372
11,"6243448861322508800",45.59022,29.38822,54.2414567873762,3.64973590620386,3.7141742105626,6.21874700282084,240.3312,-21.898497,17.0090999603271,16.6833000183105,16.5503997802734,16.5076007843018,16.4603996276855,16.690954,16.983625,16.187191,-9.24308341323192,-5.84176476993531,1,19,-99,1,1,-999,"False",47691.9497959157,28557.184734694,1,45590.22,29388.22,NA,"P",0.201726637168142,0.130036371681416
12,"6243425531060147200",-59.82824,-40.2587,72.1122820827881,1.88240776133898,0.592308772587981,1.290098988751,239.84308,-22.197273,16.7406997680664,16.1847991943359,15.9455995559692,15.8493003845215,15.7659997940063,16.206566,16.661192,15.584073,-4.54951562862596,-2.66498666348015,1,19,-99,1,1,-999,"False",-62623.1702040864,-38966.191265306,1,-59828.24,-40258.7,NA,"P",-0.264726725663717,-0.178135840707965
13,"6243215146384695680",9.51706,-115.86431,116.254517171677,1.17824993616979,1.65275204362941,5.80868319971997,240.16429,-22.51967,15.6926002502441,14.8961000442505,14.5516004562378,14.3697996139526,14.2531995773315,14.91431,15.53178,14.156889,4.81701725946921,-2.23272116013075,1,19,-99,1,1,-999,"False",9970.28979591533,-111827.913265307,1,9517.06,-115864.31,NA,"P",0.0421108849557522,-0.512673938053097
14,"6243442637907430784",54.01217,-16.25661,56.4056014665299,3.88106551007576,2.84923655961405,1.03182895046171,240.37051,-22.094452,18.608699798584,17.8784008026123,17.5716991424561,17.4356002807617,17.3309001922607,17.913689,18.449154,17.193018,-4.9623547239247,-4.68580115287668,1,19,-99,1,1,-999,"False",56576.0097959158,-15728.6452653063,1,54012.17,-16256.61,NA,"P",0.238991902654867,-0.0719319026548673
15,"6243475180881842176",-156.1499,-11.96147,156.607369030231,-1.26411485010578,0.0764531750071695,4.94261728206664,239.40417,-22.074154,18.0177001953125,17.0373001098633,16.6205997467041,16.4097003936768,16.2670993804932,17.07009,17.803154,16.23108,-6.70409117649281,-7.23978086750941,1,19,-99,1,1,-999,"False",-161816.830204085,-11141.2972653062,1,-156149.9,-11961.47,NA,"P",-0.690928761061947,-0.0529268584070796
16,"6237409072151292288",-124.22749,-122.79465,174.673968696891,2.44836489039709,0.779597776715878,1.66876711368121,239.5508,-22.543728,17.7106990814209,16.9946002960205,16.6580009460449,16.4923992156982,16.3703002929688,17.007505,17.568235,16.288881,-11.9459841358559,-12.3284775577693,1,19,-99,1,1,-999,"False",-128678.450204081,-117265.021265307,1,-124227.49,-122794.65,NA,"P",-0.549679159292035,-0.543339159292035
17,"6243226382019085184",40.1557,-112.66383,119.606098643668,-1.04967420334864,1.91317948902036,3.32033161481058,240.30585,-22.505669,18.6093997955322,17.986499786377,17.7112007141113,17.5872993469238,17.4832000732422,18.025429,18.434462,17.320507,-4.78951363561635,1.37494012081743,1,19,-99,1,1,-999,"False",41962.849795915,-108663.687265306,1,40155.7,-112663.83,NA,"P",0.177680088495575,-0.498512522123894
