# Robot File 
# Label, 240_m20_comissioning Tile 0
# Date and Time file was created/configured: 11-June-21 17:35:08
# Radial Offset Adjustment, -9999
# Radial offset is in millimetre(mm) with +ve values actioning radial outward movement 
# and -ve values actioning radial inward movement of the magnets. 
# Temp1, -9999
# Temp2, -9999
# Temp1 is the temperature the distortion code assumed the field would be observed at, 
# and Temp2 is the actual temperature it is going to be observed at in degrees C. 
# Radial Scale factor, 1.0
# Radial scale factor is thermal coefficient of invar times temperature difference 
# applied radially relative to the plate centre.

Magnet,Label,Center_x,Center_y,rot_holdingPosition,rot_platePlacing,order,Pickup_option,Magnet_title,rePosition_magnets,ID,Index,Hexabundle,rectMag_inputOrientation
circular_magnet,Blu,333.4139087501194,235.32101235855257,90,86.5185721496977,1,TR,Blu01,[0],6243455183514478592,1,NA,5.49397848676415
circular_magnet,Yel,461.1521872422568,398.0792295273088,180,53.30060244829184,1,RO,Yel02,[0],6243222946045100032,2,NA,4.83791700824509
circular_magnet,Blu,261.0159564224068,286.9729519957285,90,169.21725858810117,1,TR,Blu03,[0],6243513869947710464,3,NA,4.73432690018884
circular_magnet,Gre,211.2237929179635,373.03356100017226,90,211.67624420811495,1,TR,Gre04,[0],6243570666597000192,4,NA,5.22231406261011
circular_magnet,Mag,195.73436413659005,142.57056359408918,90,130.35352821390302,1,TR,Mag05,[0],6246536427410608128,5,NA,3.78717819379099
circular_magnet,Blu,334.91346870117775,315.09125703009073,270,109.84503209837158,1,TL,Blu06,[0],6243446181262894080,6,NA,0.926623274911675
circular_magnet,Gre,402.0407726259604,190.71275816621983,90,56.42998148273742,1,TR,Gre07,[0],6243420892496082944,7,NA,4.66687172753227
circular_magnet,Mag,337.8555103541452,97.7424962863762,90,87.62603844111588,1,TR,Mag08,[0],6243489577612243968,8,NA,4.70822632637178
circular_magnet,Yel,475.82311805987536,270.3006209440204,90,11.479592109925719,1,TR,Yel09,[0],6243210095503164416,9,NA,0.636689603509323
circular_magnet,Gre,260.9314340243397,412.8982712652437,90,238.72968137029827,1,TR,Gre10,[0],6243552593374031872,10,NA,6.22986712872158
circular_magnet,Yel,262.9858327335725,122.00232545140409,90,110.49359545739694,1,TR,Yel11,[0],6246504953890597888,11,NA,2.47482510541045
circular_magnet,Blu,409.1576903501111,293.670583909123,90,4.547929536203313,1,TR,Blu12,[0],6243408248111571968,12,NA,0.122613819761831
circular_magnet,Mag,528.1048405596747,274.37490123554306,90,7.341710374630367,1,TR,Mag13,[0],6243191090262900736,13,NA,4.0990934304381
circular_magnet,Mag,455.5124345920757,145.71962985375032,270,230.7635943405408,1,TL,Mag14,[0],6237408488035319808,14,NA,1.8817786018589
circular_magnet,Mag,403.93141174197956,110.84490771304763,90,68.50897647396008,1,TR,Mag15,[0],6237465937518083072,15,NA,4.1020734717256
circular_magnet,Gre,328.9078626476198,422.1753387825311,270,89.74321657641354,1,TL,Gre16,[0],6243350455029434368,16,NA,0.986979991270575
circular_magnet,Yel,144.22376198914577,282.3286110664189,180,264.5485565815518,1,RO,Yel17,[0],6243640038908124160,17,NA,4.29069728541672
circular_magnet,Gre,392.11325310546533,422.6240348857159,270,117.06265707859274,1,TL,Gre18,[0],6243236896099402752,18,NA,1.64873066126039
circular_magnet,Gre,204.85325932682537,270.2134732238603,90,166.5441695317022,1,TR,Gre19,[0],6243626118912287744,19,NA,4.4259839435448
circular_magnet,Mag,449.45291122987464,467.5076974687047,270,125.61542170546184,1,TL,Mag20,[0],6243180099451824128,20,NA,2.07190052024103
circular_magnet,Mag,484.53417648615715,441.54533994026457,90,317.59985076215423,1,TR,Mag21,[0],6243171028480235520,21,NA,4.43714336360718
circular_magnet,Mag,118.79749926300889,291.2348267097224,180,267.6224642172999,1,RO,Mag22,[0],-999999,22,NA,2.01088844693319
circular_magnet,Mag,123.59544791685119,311.93816445916946,180,273.3098186707626,1,RO,Mag23,[0],-999999,23,NA,4.30213895952519
circular_magnet,Yel,436.5323896857599,445.91834395280034,0,216.24898736735025,1,RI,Yel24,[0],-999999,24,NA,4.53792706589668
circular_magnet,Mag,219.1680888407536,126.24058116835178,90,122.41652866580088,1,TR,Mag25,[0],-999999,25,NA,3.71454826591233
circular_magnet,Blu,326.1457452715159,358.21529269172305,90,266.7053929910845,1,TR,Blu26,[0],-999999,26,NA,0.615586531750433
circular_magnet,Yel,419.8657418205169,442.755291968199,90,302.3180823208798,1,TR,Yel27,[0],-999999,27,NA,4.24565890044292
rectangular_magnet,R01,315.32573707243455,215.05453474638648,180,-138.26320787755873,1,I,R01,[0],6243455183514478592,1,A,5.49397848676415
rectangular_magnet,R02,479.97747429259175,378.5024826945196,180,136.10837624129027,1,I,R02,[0],6243222946045100032,2,B,4.83791700824509
rectangular_magnet,R03,255.3514223394027,313.56077072011976,180,-12.039691627973127,1,I,R03,[0],6243513869947710464,3,C,4.73432690018884
rectangular_magnet,R04,212.3947784961915,400.15382963529595,180,2.4596891287368976,1,I,R04,[0],6243570666597000192,4,D,5.22231406261011
rectangular_magnet,R05,197.33678832917298,169.72786590964336,180,3.3642014457010987,1,I,R05,[0],6246536427410608128,5,I,3.78717819379099
rectangular_magnet,R06,320.0217656284196,337.80419600054194,180,326.75342924734196,1,I,R06,[0],6243446181262894080,6,J,0.926623274911675
rectangular_magnet,R07,378.71009099815524,176.70945117932553,180,-120.96207203378924,1,I,R07,[0],6243420892496082944,7,K,4.66687172753227
rectangular_magnet,R08,310.7036197350175,96.73605916037877,180,-92.13545905237112,1,I,R08,[0],6243489577612243968,8,L,4.70822632637178
rectangular_magnet,R09,500.4604847791412,281.78261179147785,180,64.9999649689837,1,I,R09,[0],6243210095503164416,9,M,0.636689603509323
rectangular_magnet,R10,248.0889315621113,436.84666558886954,180,-28.215412032732615,1,I,R10,[0],6243552593374031872,10,N,6.22986712872158
rectangular_magnet,R11,286.20506219160416,136.1147244441188,180,58.696561884359085,1,I,R11,[0],6246504953890597888,11,O,2.47482510541045
rectangular_magnet,R12,436.29292904273336,294.8425729234444,180,87.52267515387263,1,I,R12,[0],6243408248111571968,12,P,0.122613819761831
rectangular_magnet,R13,509.7590925642727,254.34807001910156,180,-137.51904301927527,1,I,R13,[0],6243191090262900736,13,Q,4.0990934304381
rectangular_magnet,R14,470.29827512366785,168.52784882093437,180,32.94562247599691,1,I,R14,[0],6237408488035319808,14,R,1.8817786018589
rectangular_magnet,R15,377.52828438654336,117.17584756066424,180,-76.52252070849408,1,I,R15,[0],6237465937518083072,15,S,4.1020734717256
rectangular_magnet,R16,306.19084262799646,437.04438918452104,180,303.1934286127508,1,I,R16,[0],6243350455029434368,16,T,0.986979991270575
rectangular_magnet,R17,152.95176993307996,308.0813111333574,180,18.709710958934465,1,I,R17,[0],6243640038908124160,17,E,4.29069728541672
rectangular_magnet,R18,367.033728415985,433.0687707374975,180,292.597348634559,1,I,R18,[0],6243236896099402752,18,F,1.64873066126039
rectangular_magnet,R19,206.26318540159318,297.3423982298785,180,2.9539693739167205,1,I,R19,[0],6243626118912287744,19,G,4.4259839435448
rectangular_magnet,R20,422.490053693576,470.7786426887497,180,276.9042663246912,1,I,R20,[0],6243180099451824128,20,H,2.07190052024103
rectangular_magnet,R21,496.7139983814648,417.2409090773576,180,153.37026293298084,1,I,R21,[0],6243171028480235520,21,U,4.43714336360718
