#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,16 00 09.88,-22 01 26.5 #Field centre
#UTTIME,14 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,240_m20_comissioning Tile 000
#TILING_DATE,2021 06 15 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,Re,GAL_MU_E_R,Mstar,priority,remaining_observations,Tile_number,COMPLETED,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyFibrePosition,fibre_type,fraction_plate_radius_X,fraction_plate_radius_Y,grads,gangs,gazAngs,gangs_gazAng,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
NA,Sky-A2-5,42.7953,235.13733,NA,NA,NA,NA,240.2320974,-21.043852798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42795.3,235137.33,2.0,S,0.189359734513274,1.04043066371681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sky-A2-6,54.51158,234.75423,NA,NA,NA,NA,240.2842921,-21.045932644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54511.58,234754.23,1.0,S,0.241201681415929,1.03873553097345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sky-A2-7,65.74346,231.85957,NA,NA,NA,NA,240.33445,-21.057927504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65743.46,231859.57,1.0,S,0.290900265486726,1.02592730088496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sky-A3-1,231.67752,66.38214,NA,NA,NA,NA,241.0796581,-21.744351145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231677.52,66382.14,1.0,S,1.0251217699115,0.293726283185841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sky-A3-2,234.60313,55.15828,NA,NA,NA,NA,241.0930957,-21.790996912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234603.13,55158.28,1.0,S,1.03806694690265,0.244063185840708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sky-A3-3,236.98531,43.80666,NA,NA,NA,NA,241.1041088,-21.838186294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236985.31,43806.66,1.0,S,1.04860756637168,0.193834778761062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sky-A3-4,234.85465,31.81656,NA,NA,NA,NA,241.0960642,-21.888007686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234854.65,31816.56,3.0,S,1.03917986725664,0.140781238938053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sky-A3-5,240.09865,20.82553,NA,NA,NA,NA,241.1187574,-21.933759832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240098.65,20825.53,1.0,S,1.06238340707965,0.0921483628318584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sky-A3-6,236.82539,9.09574,NA,NA,NA,NA,241.1055887,-21.982630581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236825.39,9095.74,3.0,S,1.04789995575221,0.0402466371681416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sky-A3-7,238.98865,2.32895,NA,NA,NA,NA,241.1149245,-22.010772146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238988.65,2328.95,2.0,S,1.05747190265487,0.0103050884955752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
