# Robot File 
# Label, 300_m20_comissioning Tile 0
# Date and Time file was created/configured: 10-June-21 13:43:35
# Radial Offset Adjustment, -9999
# Radial offset is in millimetre(mm) with +ve values actioning radial outward movement 
# and -ve values actioning radial inward movement of the magnets. 
# Temp1, -9999
# Temp2, -9999
# Temp1 is the temperature the distortion code assumed the field would be observed at, 
# and Temp2 is the actual temperature it is going to be observed at in degrees C. 
# Radial Scale factor, 1.0
# Radial scale factor is thermal coefficient of invar times temperature difference 
# applied radially relative to the plate centre.

Magnet,Label,Center_x,Center_y,rot_holdingPosition,rot_platePlacing,order,Pickup_option,Magnet_title,rePosition_magnets,ID,Index,Hexabundle,probe_orientation,rectMag_inputOrientat
circular_magnet,Yel,200.32528987231186,162.02095986673424,90,133.1087183139549,1,TR,Yel09,[Mag21_R09_R21_R25],6864550885222572032,9,NA,0,3.5122625017188702
circular_magnet,Yel,256.7520435225826,443.9296236732644,90,243.1767331744837,2,TR,Yel01,[0],6865760588530044928,1,NA,0,3.79529026721574
circular_magnet,Yel,335.93190651814115,482.71172928990404,270,92.02804085659923,2,TL,Yel02,[0],6864236351880389632,2,NA,0,1.80051551653272
circular_magnet,Mag,490.4574292224944,174.3417612032991,270,217.9828416017927,2,TL,Mag03,[0],6864130803061423104,3,NA,0,1.75612439453639
circular_magnet,Yel,271.3892488973167,120.62013061503984,90,107.95910351571776,2,TR,Yel04,[0],6864399427497111552,4,NA,0,2.4474287275331204
circular_magnet,Gre,432.4836923351832,313.2565813070149,90,352.6687376807428,2,TR,Gre05,[0],6864207700155176960,5,NA,0,6.047930599018391
circular_magnet,Mag,123.52641154320179,296.3210482892483,270,358.98718091934074,2,TL,Mag06,[0],6866037974698141696,6,NA,0,2.0039807526023603
circular_magnet,Blu,340.5259968624489,336.3573656695016,270,106.85350240251336,2,TL,Blu07,[0],6864224467708009472,7,NA,0,0.955464304230129
circular_magnet,Yel,333.7369797233367,104.72526619702279,90,88.74834485557986,2,TR,Yel08,[0],6864385958478931968,8,NA,0,4.6944074902607404
circular_magnet,Yel,187.25925207831216,402.84431031710614,90,215.86078368725714,2,TR,Yel10,[0],6865828032399650816,10,NA,0,5.0333317514535585
circular_magnet,Blu,268.13840702472686,310.18399226859265,90,189.40186773938592,2,TR,Blu11,[0],6864313734308124672,11,NA,0,5.1479615461976
circular_magnet,Yel,497.0980164216501,392.27014454106273,90,331.15350516182787,2,TR,Yel12,[0],6852176534686400512,12,NA,0,4.7732336075073
circular_magnet,Gre,436.4178808992102,232.3207354895606,270,212.34968626114284,2,TL,Gre13,[0],6864163307373910016,13,NA,0,0.902351056774386
circular_magnet,Yel,441.45122461711793,140.29490043520246,270,234.974761051898,2,TL,Yel14,[0],6864172206546341888,14,NA,0,1.9101668438473
circular_magnet,Gre,186.6417957581463,279.6279067277784,270,351.90341018361124,2,TL,Gre15,[0],6864519854080979968,15,NA,0,1.48834475698776
circular_magnet,Yel,395.2134444052364,471.34051953981503,270,110.99864345422452,2,TL,Yel16,[0],6852213570186830848,16,NA,0,1.46542162309278
circular_magnet,Blu,335.11941135487785,225.7846423720821,90,85.66812303644409,2,TR,Blu17,[0],6864279649447693312,17,NA,0,5.4342391324709
circular_magnet,Yel,493.1880042642225,283.1199641955914,90,5.879498497872532,2,TR,Yel18,[0],6864097371035736064,18,NA,0,3.7550483027041297
circular_magnet,Gre,199.69439831238864,347.69081855588036,90,200.1581272084731,2,TR,Gre19,[0],6864329024392037376,19,NA,0,4.95121129928196
circular_magnet,Blu,401.32012110330027,347.7345344949417,90,326.38546310204686,2,TR,Blu20,[0],6864204332900809728,20,NA,0,5.39629481009564
circular_magnet,Mag,182.94768543146031,149.24515285456656,90,134.1846302330853,2,TR,Mag21,[0],-999999,21,NA,0,4.01332610141284
circular_magnet,Mag,123.69213093792712,322.8320890217067,90,186.32200222526888,2,TR,Mag22,[0],-999999,22,NA,0,4.33010374956176
circular_magnet,Mag,492.81476017822183,431.7063148474044,90,321.1055084580506,2,TR,Mag23,[0],-999999,23,NA,0,4.5916485627453305
circular_magnet,Mag,401.8914101603848,117.70572848285195,90,68.34098533290623,2,TR,Mag24,[0],-999999,24,NA,0,4.2679729111111495
circular_magnet,Mag,210.72516454075807,136.27180139595046,90,125.95954561771947,2,TR,Mag25,[0],-999999,25,NA,0,3.4628380388019706
circular_magnet,Yel,171.43030800201595,322.74442574180085,90,188.1702659759909,2,TR,Yel26,[0],-999999,26,NA,0,4.8261403813317
rectangular_magnet,R01,281.2221265127364,432.13440820677914,180,115.7226188359434,2,I,R01,[0],6865760588530044928,1,A,-154.27738116405672,3.79529026721574
rectangular_magnet,R02,309.2823924566398,477.47304153737696,180,258.86610081145693,2,I,R02,[0],6864236351880389632,2,B,-11.133899188542784,1.80051551653272
rectangular_magnet,R03,502.95804590843034,198.48163761909504,180,27.364325494890522,2,I,R03,[0],6864130803061423104,3,C,117.36432549489047,1.75612439453639
rectangular_magnet,R04,294.3455766964604,135.1076145941149,180,57.731766768996465,2,I,R04,[0],6864399427497111552,4,D,147.7317667689965,2.4474287275331204
rectangular_magnet,R05,459.53112930491545,310.3371660025854,180,96.14783956896116,2,I,R05,[0],6864207700155176960,5,I,-173.85216043103856,6.047930599018391
rectangular_magnet,R06,135.3627369930663,271.876379812717,180,154.16754156977512,2,I,R06,[0],6866037974698141696,6,J,-115.83245843022515,2.0039807526023603
rectangular_magnet,R07,323.8105553865122,357.8284468731053,180,322.10943029472327,2,I,R07,[0],6864224467708009472,7,K,52.1094302947231,0.955464304230129
rectangular_magnet,R08,306.5666230558851,104.62627910125374,180,-90.22139165096166,2,I,R08,[0],6864385958478931968,8,L,-0.2213916509616638,4.6944074902607404
rectangular_magnet,R09,210.45642885001007,187.24388546419914,180,21.87090042340361,2,I,R09,[0],6864550885222572032,9,M,111.87090042340361,3.5122625017188702
rectangular_magnet,R10,195.42390273676418,428.76329833357113,180,17.472117439777662,2,I,R10,[0],6865828032399650816,10,N,107.47211743977763,5.0333317514535585
rectangular_magnet,R11,260.85796105494137,336.36198929730614,180,-15.554601953378096,2,I,R11,[0],6864313734308124672,11,O,74.44539804662156,5.1479615461976
rectangular_magnet,R12,511.6226970882839,369.31958052429866,180,147.66736482165504,2,I,R12,[0],6852176534686400512,12,P,-122.33263517834479,4.7732336075073
rectangular_magnet,R13,462.04469880828196,241.31554743522764,180,70.64877906880076,2,I,R13,[0],6864163307373910016,13,Q,160.64877906880093,0.902351056774386
rectangular_magnet,R14,457.2505642750379,162.4131462755571,180,35.53026273362275,2,I,R14,[0],6864172206546341888,14,R,125.53026273362275,1.9101668438473
rectangular_magnet,R15,188.23603348769987,252.52321452212527,180,176.62753714778847,2,I,R15,[0],6864519854080979968,15,S,-93.37246285221171,1.48834475698776
rectangular_magnet,R16,371.03265266390775,483.687218256127,180,297.0361692437974,2,I,R16,[0],6852213570186830848,16,T,27.03616924379719,1.46542162309278
rectangular_magnet,R17,316.12102367218165,206.3310836008688,180,-135.69084411897234,2,I,R17,[0],6864279649447693312,17,E,-45.690844118972336,5.4342391324709
rectangular_magnet,R18,469.48588889911446,269.84273583712553,180,-119.26892111483733,2,I,R18,[0],6864097371035736064,18,F,-29.268921114837212,3.7550483027041297
rectangular_magnet,R19,202.76306417329158,374.6774459663109,180,6.47461628213199,2,I,R19,[0],6864329024392037376,19,H,96.47461628213227,4.95121129928196
rectangular_magnet,R20,427.2880248740021,339.6895736667703,180,107.2005454752167,2,I,R20,[0],6864204332900809728,20,U,-162.7994545247833,5.39629481009564
rectangular_magnet,R21,180.22501857418155,176.2869715368787,180,-5.76201718756306,2,I,R21,[0],-999999,21,GS1,84.23798281243694,4.01332610141284
rectangular_magnet,R22,136.5469881883563,346.7681786121162,180,28.225332521607243,2,I,R22,[0],-999999,22,GS2,118.2253325216073,4.33010374956176
rectangular_magnet,R23,507.1952621084445,408.6604207731731,180,148.0234248054328,2,I,R23,[0],-999999,23,GS3,-121.97657519456709,4.5916485627453305
rectangular_magnet,R24,374.7587907158686,119.49481609561377,180,-86.19584954992627,2,I,R24,[0],-999999,24,GS4,3.8041504500737346,4.2679729111111495
rectangular_magnet,R25,218.91319520311924,162.18970656747774,180,17.553540857007363,2,I,R25,[0],-999999,25,GS5,107.5535408570073,3.4628380388019706
rectangular_magnet,R26,172.21936982371648,349.88249383438585,180,1.6527907880267776,2,I,R26,[0],-999999,26,GS6,91.65279078802678,4.8261403813317
