#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,19 58 58.01,-21 52 13.5 #Field centre
#UTTIME,12 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,300_m20_comissioning Tile 015
#TILING_DATE,2021 06 07 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","pmRA","pmDEC","priority","remaining_observations","Tile_number","COMPLETED","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","Position","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
1,"6864300918125676544",70.02892,2.24478,70.0648890216405,3.86389967760691,3.17363672362902,0.690262953977887,300.06534,-21.860554,16.0930004119873,15.5090999603271,15.2632999420166,15.1539001464844,15.069299697876,15.530519,15.999649,14.896278,11.8659657145788,-3.14617750689849,1,1,-999,"False",73142.5754285724,2228.01131428514,1,70028.92,2244.78,NA,"P",0.309862477876106,0.00993265486725664
2,"6864367747817418752",-102.23686,-86.84474,134.143148942938,-1.13324912924,0.704172624727687,4.4457635532119,299.27087,-22.23965,14.5146999359131,14.0848999023438,13.9247999191284,13.8627996444702,13.8189001083374,14.106974,14.452673,13.557723,-1.09395313441268,-0.679968499704387,1,1,-999,"False",-106407.644571425,-83447.684685715,1,-102236.86,-86844.74,NA,"P",-0.452375486725664,-0.384268761061947
3,"6864200484610035712",145.9144,-115.10977,185.852821546548,4.49741483282784,2.47366561809475,2.02374921473309,300.40775,-22.355291,17.236499786377,16.5830001831055,16.3190002441406,16.1882991790771,16.1091995239258,16.618767,17.127228,15.959186,-2.50228636524841,-5.368186700556,1,1,-999,"False",150527.235428579,-109582.550685715,1,145914.4,-115109.77,NA,"P",0.645638938053097,-0.509335265486726
4,"6864232336088056832",194.79037,-50.97206,201.349048036936,4.70670898076053,2.88565490335726,1.82105407740328,300.62674,-22.082878,16.7045993804932,16.1548004150391,15.9204998016357,15.8135995864868,15.7486000061035,16.176746,16.62469,15.559458,5.9486505380434,-5.588393026499,1,1,-999,"False",200018.975428571,-48017.2126857149,1,194790.37,-50972.06,NA,"P",0.861904292035398,-0.225540088495575
5,"6864154300823488512",-122.117,-114.19407,167.191050335133,-1.25749360701057,0.751883172801961,4.27380852736705,299.18167,-22.353434,18.3293991088867,17.5098991394043,17.1616992950439,16.9915008544922,16.8736000061035,17.552652,18.137138,16.787546,3.82868756346356,-0.934087940958228,1,1,-999,"False",-126566.844571426,-109162.868685715,1,-122117,-114194.07,NA,"P",-0.540340707964602,-0.505283495575221
6,"6864530986636368512",0.45086,129.21604,129.216826566903,0.0824745949574801,4.70889979924007,1.656760102897,299.744,-21.319277,15.6808996200562,15.0150995254517,14.7323999404907,14.5974998474121,14.5115995407104,15.043067,15.565157,14.366434,-2.96461995456548,-5.00809362955306,1,1,-999,"False",519.735428580589,124556.613314285,1,450.86,129216.04,NA,"P",0.00199495575221239,0.571752389380531
7,"6864098122652956032",61.01803,-187.51217,197.190298653838,4.29099371612717,1.88539754018226,2.40559617594492,300.02,-22.660355,17.5436992645264,16.869800567627,16.5627994537354,16.4265003204346,16.3313999176025,16.89893,17.412868,16.182505,-6.26541085269162,-2.20445835147207,1,1,-999,"False",62895.7354285701,-178527.014685715,1,61018.03,-187512.17,NA,"P",0.269991283185841,-0.829699867256637
8,"6864116814348789120",12.64329,-137.43357,138.013908520008,1.4671765676888,1.66253375652406,6.08782811834432,299.7997,-22.455526,18.2609996795654,17.5555992126465,17.2521991729736,17.1152000427246,17.0251998901367,17.688189,18.121796,16.85928,-1.55405445302453,-6.18040742355201,1,1,-999,"False",13107.9354285681,-132235.660685715,1,12643.29,-137433.57,NA,"P",0.0559437610619469,-0.60811314159292
9,"6864299505078022400",90.83852,-12.55697,91.7023130099307,4.01646544304317,3.00422920358172,1.01223623946145,300.1608,-21.923733,17.9703998565674,17.0785999298096,16.7024002075195,16.5125007629395,16.3845996856689,17.10727,17.762575,16.316973,8.44817433333379,-2.30806050145126,1,1,-999,"False",94716.535428573,-12050.4426857144,1,90838.52,-12556.97,NA,"P",0.401940353982301,-0.055561814159292
10,"6864582427462528768",-81.77984,154.60394,174.900887630535,0.350092150720742,-1.0842472971106,1.43433944783134,299.3704,-21.215096,17.9671993255615,17.2616004943848,16.9449996948242,16.7947998046875,16.6851005554199,17.293589,17.826668,16.559631,-4.03837408930419,-6.53182642697904,1,1,-999,"False",-83913.8645714218,148101.519314285,1,-81779.84,154603.94,NA,"P",-0.361857699115044,0.684088230088496
