#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,19 59 39.88,-21 56 58.1 #Field centre
#UTTIME,12 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,300_m20_comissioning Tile 004
#TILING_DATE,2021 06 07 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","pmRA","pmDEC","priority","remaining_observations","Tile_number","COMPLETED","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","Position","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
1,"6864249584676745600",123.59216,-0.93835,123.595722070742,4.14801613891637,3.13400048940397,1.0140156495124,300.48483,-21.952646,18.4582004547119,17.6662006378174,17.2943000793457,17.1065006256104,16.9755992889404,17.69025,18.270842,16.911259,5.39300027486696,-2.6558492396993,1,1,-999,"False",128513.633406593,-717.2842637356,1,123592.16,-938.35,NA,"P",0.54686796460177,-0.00415199115044248
2,"6852217560214272128",183.0536,-68.77391,195.546595904015,4.64280973575431,2.78220520669648,1.86060452905783,300.74985,-22.237507,17.5653991699219,17.2441997528076,17.0991992950439,17.0428009033203,17.0121994018555,17.24159,17.529083,16.733242,-0.207605957999572,-9.4577106392326,1,1,-999,"False",188408.153406591,-65095.8702637363,1,183053.6,-68773.91,NA,"P",0.809971681415929,-0.304309336283186
3,"6864116440690734720",-23.17333,-125.20633,127.332746359127,1.99412189721995,1.38778610906916,0.606335788150786,299.809,-22.48333,18.0018997192383,17.4307994842529,17.192699432373,17.0967998504639,17.032600402832,17.467474,17.927748,16.817385,1.66077059959557,0.922839543760008,1,1,-999,"False",-24223.9465933983,-120651.868263736,1,-23173.33,-125206.33,NA,"P",-0.10253685840708,-0.554010309734513
4,"6864547964644879488",-162.59432,98.42871,190.066103891584,3.35733463639554,-0.544354115278949,3.90168875167449,299.17828,-21.53205,18.2285003662109,17.6319999694824,17.3684005737305,17.247200012207,17.1550006866455,17.6639,18.129654,17.00522,-0.669267039998783,-0.989208128752018,1,1,-999,"False",-166766.66659341,94337.4117362635,1,-162594.32,98428.71,NA,"P",-0.71944389380531,0.435525265486726
5,"6864553977599083136",-114.81621,140.7949,181.675441226309,0.267959344373323,-0.886684027798031,1.15464337217135,299.39496,-21.352995,16.3889007568359,15.7643003463745,15.5256004333496,15.4212999343872,15.3571996688843,15.801731,16.282034,15.16078,2.68828138344422,-5.86516598158636,1,1,-999,"False",-117796.986593398,134803.841736264,1,-114816.21,140794.9,NA,"P",-0.508036327433628,0.622986283185841
6,"6864479520045818496",-88.43803,43.83818,98.7069965908866,-0.477349405496575,-0.460196689946097,6.26603259162911,299.5085,-21.76116,18.3610992431641,17.8353004455566,17.6002998352051,17.4965991973877,17.4237995147705,17.861038,18.274223,17.21193,-4.84558375926913,-0.400370049285748,1,1,-999,"False",-92136.9465933982,42558.5517362639,1,-88438.03,43838.18,NA,"P",-0.391318716814159,0.193974247787611
7,"6852178493191553408",90.88295,-187.55252,208.412231788475,0.400212669457866,2.0220266145162,4.66137136212125,300.33,-22.737247,18.2320995330811,17.7800006866455,17.5212993621826,17.470100402832,17.3271007537842,17.815413,18.158125,17.204508,-4.31522125498174,-3.87093812641174,1,1,-999,"False",93522.0534065922,-178037.110263736,1,90882.95,-187552.52,NA,"P",0.402136946902655,-0.829878407079646
8,"6864093831983274240",39.18366,-182.75629,186.90965931583,4.22559216575809,1.78200264742009,2.443589518338,300.0952,-22.720922,17.154899597168,16.6544990539551,16.425500869751,16.3418998718262,16.2735996246338,16.67756,17.094473,16.082201,-5.43426775186004,-13.2130303644039,1,1,-999,"False",40457.2534065907,-174347.660263736,1,39183.66,-182756.29,NA,"P",0.173379026548673,-0.808656150442478
9,"6864201858999550976",120.82368,-90.83299,151.158836066842,4.36025546501543,2.49695245136528,1.86330301365015,300.4713,-22.334772,17.8915996551514,17.2017993927002,16.9584007263184,16.8397998809814,16.7830009460449,17.264223,17.786102,16.58213,3.50526076848647,-4.0098068698832,1,1,-999,"False",125455.853406592,-87077.7602637363,1,120823.68,-90832.99,NA,"P",0.534618053097345,-0.401915884955752
10,"6864483780653298432",-22.10286,65.88646,69.4950504101637,-0.264980711362551,-1.24712497162344,0.982144260260894,299.81427,-21.666773,15.6635999679565,15.1219997406006,14.8909997940063,14.7918996810913,14.7264995574951,15.136771,15.57585,14.525571,-1.90955416999624,-4.06792767233716,1,1,-999,"False",-23032.9265933992,63890.0137362633,1,-22102.86,65886.46,NA,"P",-0.0978002654867257,0.291533008849558
