probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,Re,GAL_MU_E_R,Mstar,priority,remaining_observations,Tile_number,COMPLETED,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,Position,fibre_type,fraction_plate_radius_X,fraction_plate_radius_Y,grads,gangs,gazAngs,gangs_gazAng
1.0,4069907165716436736,193.07939,-8.24972,193.25555289008,4.69059979131739,3.09889153851384,1.59170825280355,270.83847000000003,-21.978844,18.6025009155273,16.6081008911133,15.4555997848511,14.756799697876,14.293499946594201,16.15022,17.77402,14.839895,-3.5701403734039503,-5.52114722175475,1.0,19.0,-99.0,1.0,1.0,-999.0,False,198411.85714286,-7344.649469386909,1.0,193079.39,-8249.72,NA,P,0.854333584070797,-0.036503185840708,NA,NA,NA,NA
2.0,4070293918948068224,-180.6059,-79.54745,197.348138872178,-1.4924525065004501,0.414881881330677,4.37585091934846,269.13773,-22.27959,19.4407005310059,17.8134994506836,16.8166999816895,16.2143993377686,15.8732004165649,17.465778,18.88841,16.281036,-3.2666062786111096,1.92820134313699,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-185955.382857152,-75313.24546938691,1.0,-180605.9,-79547.45,NA,P,-0.799141150442478,-0.351979867256637,NA,NA,NA,NA
3.0,4070718811468706816,1.08366,76.01557,76.0232938080198,-0.185757379991728,4.698134182329951,1.39929374485791,269.96555,-21.620447,18.1250991821289,16.5076007843018,15.5573997497559,14.9518003463745,14.5500001907349,16.197395,17.535055,15.009998000000001,-0.6831622317781579,-1.50893584027996,1.0,19.0,-99.0,1.0,1.0,-999.0,False,1131.93714285489,73653.07253061309,1.0,1083.66,76015.57,NA,P,0.00479495575221239,0.336352079646018,NA,NA,NA,NA
4.0,4069546457180880384,53.92604,-68.86988000000001,87.470441643426,1.2912155675219399,2.23509343337984,5.339307441321691,270.20996,-22.241018,18.8383007049561,17.5846996307373,16.886400222778303,16.4624004364014,16.1042995452881,17.428407999999997,18.47096,16.391941,-1.0492943270339399,-1.0841679920618301,1.0,19.0,-99.0,1.0,1.0,-999.0,False,56368.597142858605,-66595.9734693873,1.0,53926.04,-68869.88,NA,P,0.238610796460177,-0.304733982300885,NA,NA,NA,NA
5.0,4069475156410965376,123.41812,-164.19955,205.410624273763,0.46423982627293797,2.21534298052963,4.5320821529229,270.52286000000004,-22.63595,19.3745002746582,17.8264007568359,16.9123001098633,16.3516998291016,15.9371004104614,17.533884,18.744304999999997,16.396152,-0.128861506001999,-1.6188117745454897,1.0,19.0,-99.0,1.0,1.0,-999.0,False,127083.99714286199,-155850.605469387,1.0,123418.12,-164199.55,NA,P,0.546097876106195,-0.726546681415929,NA,NA,NA,NA
6.0,4069874970620283136,168.93122,-64.49868000000001,180.825431874034,4.5625860660915,2.77686988363697,1.78571618245453,270.7319,-22.217226,17.2931003570557,16.2129001617432,15.604000091552699,15.215100288391099,14.943699836731,16.094732,16.963793,15.103232,-1.7225259338380199,1.5384914919158,1.0,19.0,-99.0,1.0,1.0,-999.0,False,174327.037142852,-61218.981469387196,1.0,168931.22,-64498.68,NA,P,0.7474832743362829,-0.285392389380531,NA,NA,NA,NA
7.0,4070317180492258048,-6.44003,-4.65367,7.945478643215901,1.5998829339374798,0.625743913677662,0.9741390202598129,269.9304,-21.96654,16.7903003692627,15.8814001083374,15.3625001907349,15.001199722289998,14.862099647522,15.826381,16.548323,14.848427,3.2422422563225095,-0.645292846994966,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-6811.96285714225,-4563.945469386839,1.0,-6440.03,-4653.67,NA,P,-0.0284957079646018,-0.0205914601769911,NA,NA,NA,NA
8.0,4070402014674835072,-157.99563999999998,69.38208,172.55867200502,2.06196143591695,-0.41378547172357594,2.47574690764053,269.24033,-21.650779999999997,18.961799621582,17.8125991821289,17.3234996795654,17.039400100708,16.886400222778303,17.798437,18.598527999999998,16.764295999999998,-2.17647633164429,-0.454937463459862,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-162767.782857153,66797.8145306126,1.0,-157995.64,69382.08,NA,P,-0.6990957522123891,0.307000353982301,NA,NA,NA,NA
9.0,4069932415807915392,105.05826,-3.07266,105.103183746751,1.1303983289656698,3.1123537880985404,4.30122984804672,270.44504,-21.958803,19.3582992553711,17.436599731445302,16.318799972534197,15.569700241088901,15.032899856567399,16.955769,18.614338,15.656460999999998,-2.27108173235892,-4.20174327280999,1.0,19.0,-99.0,1.0,1.0,-999.0,False,109496.677142855,-2815.38346938711,1.0,105058.26,-3072.66,NA,P,0.464859557522124,-0.0135958407079646,NA,NA,NA,NA
10.0,4069979905285916416,161.972,77.08576,179.379885100804,1.08000129657292,3.5857915900969703,3.7773950136555294,270.69748,-21.6187,15.911399841308599,15.301899909973098,15.0183000564575,14.8713998794556,14.7937002182007,15.309728,15.809101,14.644895000000002,2.3715009598158,1.8187116628424298,1.0,19.0,-99.0,1.0,1.0,-999.0,False,166548.11714285,74047.8945306127,1.0,161972.0,77085.76,NA,P,0.716690265486726,0.341087433628319,NA,NA,NA,NA
11.0,4070310269852200960,-81.55675,-48.19386,94.73199888243731,2.00084797914623,0.533719415346931,1.4671285637993001,269.5834,-22.1523,15.9807996749878,15.270899772644,14.945300102233901,14.785499572753901,14.672599792480499,15.285328,15.852201999999998,14.575891500000001,-0.10121836463081099,-8.22537711052089,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-85233.96285715059,-46545.70546938731,1.0,-81556.75,-48193.86,NA,P,-0.36087057522123905,-0.213247168141593,NA,NA,NA,NA
12.0,4070786019119677696,-115.59263,142.88814,183.789762127754,0.35701589105879605,-0.890608014184338,1.24762390524313,269.43588,-21.341381,19.1966991424561,16.9062995910645,15.5346002578735,14.7211999893188,14.204199790954599,16.18158,18.092968,14.840357000000001,-0.544367744841586,-2.7381211830061503,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-118573.482857147,136721.98853061302,1.0,-115592.63,142888.14,NA,P,-0.5114718141592921,0.632248407079646,NA,NA,NA,NA
13.0,4070803366455413120,7.830189999999999,179.21036,179.381339628083,2.80279376811001,4.66872402180796,4.41725505348163,269.9961,-21.188047,16.805400848388697,15.7791004180908,15.2138004302979,14.8505001068115,14.6316003799438,15.678346,16.52134,14.720115,-0.0769731097264878,0.7362187368019331,1.0,19.0,-99.0,1.0,1.0,-999.0,False,8036.237142856071,171375.472530613,1.0,7830.19,179210.36,NA,P,0.0346468584070796,0.7929661946902651,NA,NA,NA,NA
14.0,4070374733059043328,-149.21024,-12.6746,149.747591653481,-1.2163331284569,0.0847411440280905,4.98211103469459,269.27603,-21.998801999999998,17.3047008514404,15.392200469970698,14.332900047302198,13.6753997802734,13.2862997055054,14.971991000000001,16.493714999999998,13.741746,-0.7801035475207759,2.32074228863185,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-154699.582857149,-11855.1574693875,1.0,-149210.24,-12674.6,NA,P,-0.660222300884956,-0.0560823008849557,NA,NA,NA,NA
15.0,4069517281448887296,-123.65131000000001,-176.55669,215.550252257965,2.76120629435278,0.9598361395017541,1.8013701548510301,269.39813,-22.686243,19.172800064086896,17.614000320434602,16.665899276733402,16.0573997497559,15.6326999664307,17.271176999999998,18.575903,16.08504,-1.0460163177350899,-2.85883998054595,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-127104.982857151,-167216.823469387,1.0,-123651.31,-176556.69,NA,P,-0.5471296902654871,-0.7812242920353979,NA,NA,NA,NA
16.0,4070741969933367808,122.14965,140.12575,185.89180403714698,2.7883600291328,3.99542281979473,5.07612251651766,270.51465,-21.35345,19.7812995910645,17.9543991088867,16.887300491333,16.2089004516602,15.7676000595093,17.563288,19.180916,16.324425,-2.40453034965252,-5.470264169819401,1.0,19.0,-99.0,1.0,1.0,-999.0,False,125228.53714285699,133994.394530613,1.0,122149.65,140125.75,NA,P,0.54048517699115,0.6200254424778759,NA,NA,NA,NA
17.0,4069530892218830976,15.268360000000001,-151.04653000000002,151.816260796169,1.3660423464420102,1.67153795120421,5.977689702417379,270.0308,-22.588282,18.0126991271973,16.817699432373,16.1051998138428,15.6646995544434,15.3379001617432,16.661917000000003,17.689332999999998,15.651695000000002,0.6955421991138271,-1.34664146885152,1.0,19.0,-99.0,1.0,1.0,-999.0,False,15878.437142853001,-145077.637469387,1.0,15268.36,-151046.53,NA,P,0.0675591150442478,-0.6683474778761059,NA,NA,NA,NA
18.0,4070797009903609728,0.59914,141.8768,141.87806506637898,0.146042582510976,4.70816604584943,1.72106184384114,269.9633,-21.342342000000002,17.4881992340088,16.1422996520996,15.3149003982544,14.767200469970698,14.4310998916626,15.872929999999998,17.041113,14.7696295,0.21057655797091504,0.8595809679786851,1.0,19.0,-99.0,1.0,1.0,-999.0,False,623.437142854073,136504.802530613,1.0,599.14,141876.8,NA,P,0.00265106194690265,0.627773451327434,NA,NA,NA,NA
19.0,4069560269795495680,27.08104,-51.9056,58.545486921210205,1.4164792956746497,2.05168144739237,5.64798315546187,270.08606000000003,-22.16911,16.8967990875244,16.670799255371097,16.6462001800537,16.6203002929688,16.5793991088867,16.647326,16.822784,16.25248,-10.2662045716186,-1.53193570940034,NA,NA,NA,1.0,NA,NA,NA,28367.1971428604,-50344.765469387195,0.0,27081.04,-51905.6,NA,P,0.119827610619469,-0.22967079646017702,NA,NA,NA,NA
20.0,4070718497904347904,22.65371,80.29097,83.4255982316279,3.32838464684842,4.43739216459886,5.174177789429139,270.06494,-21.60233,16.5198993682861,16.2612991333008,16.1679992675781,16.1026992797852,16.064800262451197,16.190025,16.426561,15.75585,-9.853357510547971,-5.682016407290679,NA,NA,NA,1.0,NA,NA,NA,23594.077142848397,77747.5145306132,0.0,22653.71,80290.97,NA,P,0.100237654867257,0.355269778761062,NA,NA,NA,NA
21.0,4069976464991195136,-204.15597,18.02521,NA,NA,NA,NA,270.5328,-21.684666,NA,11.4086999893188,NA,NA,NA,NA,NA,NA,-3.2654640843057203,-7.415709419425781,NA,NA,NA,NA,NA,NA,NA,129330.437142855,59139.5785306128,2.0,124888.6,61234.03,NA,G,NA,NA,204.950160483433,4.623816408546401,-0.0880630145475187,4.71187942309392
22.0,4069926815170942336,163.05168,97.60427,NA,NA,NA,NA,270.56815,-22.088623000000002,NA,11.425900459289599,NA,NA,NA,NA,NA,NA,-22.8226772463412,-7.172102010912661,NA,NA,NA,NA,NA,NA,NA,137319.537142854,-32154.703469387598,2.0,132203.79,-33664.03,NA,G,NA,NA,190.032744212821,5.95183198687453,3.6809890340516502,2.2708429528228797
23.0,4070368376505816064,133.39487,-52.042359999999995,NA,NA,NA,NA,269.03455,-21.867829999999998,NA,11.5804996490479,NA,NA,NA,NA,NA,NA,0.8017742879701341,0.329035572537338,NA,NA,NA,NA,NA,NA,NA,-209274.06285714102,17744.5145306133,2.0,-204155.97,18025.21,NA,G,NA,NA,143.18728496862602,0.9166146041076751,2.7696171150147597,4.4301827962725
24.0,4070297316229990912,-27.227829999999997,-34.33293,NA,NA,NA,NA,269.2731,-22.209093,NA,11.681400299072301,NA,NA,NA,NA,NA,NA,0.41975269870747706,0.26229035280156,NA,NA,NA,NA,NA,NA,NA,-155361.762857147,-59380.9234693871,2.0,-149969.17,-62260.82,NA,G,NA,NA,43.8190005464958,1.7119100795655102,0.900305794249485,0.8116042853160229
25.0,4070769865709852288,-56.80911999999999,187.32683,NA,NA,NA,NA,269.6652,-21.428143,NA,11.9498996734619,NA,NA,NA,NA,NA,NA,-2.2870388474542405,-7.06313497192834,NA,NA,NA,NA,NA,NA,NA,-66747.1628571407,117113.776530613,2.0,-64538.59,121574.43,NA,G,NA,NA,195.751417243971,0.32337502022486997,-1.2763495118804198,1.5997245321052802
26.0,4069985226725356160,124.82476000000001,-18.40746,NA,NA,NA,NA,270.70035,-21.532795,NA,12.6087999343872,NA,NA,NA,NA,NA,NA,-4.714457905872731,-2.73456157274179,NA,NA,NA,NA,NA,NA,NA,167196.737142856,93462.4245306128,2.0,163051.68,97604.27,NA,G,NA,NA,126.17470147659999,4.217627255969529,2.99518145484161,1.2224458011279198
