probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyFibrePosition,fibre_type,fraction_plate_radius_X,fraction_plate_radius_Y,grads,gangs,gazAngs,gangs_gazAng
11.0,2391446655225626496,106.0442,30.4471,110.32859217832,3.88564747823161,3.4211887453009,0.464458732930707,351.90698,-21.686728,19.1798000335693,17.9612007141113,17.1573009490967,16.7987003326416,16.613899230957,17.799397,18.85617,16.789232,-99.0,1.0,0.0,19.0,1.90593878876114,-16.4431052153964,1.0,110319.778367342,29567.6768571429,1.0,106044.2,30447.1,NA,P,0.469222123893805,0.134721681415929,NA,NA,NA,NA
12.0,2385372510612470784,-56.91957,-116.15293,129.349683403439,-0.0921940814761779,1.11514850066801,5.0758427250354,351.15613,-22.312557,18.6513004302979,17.6777000427246,17.24880027771,17.0445003509521,16.9067001342773,17.709171,18.442476,16.89696,-99.0,1.0,0.0,19.0,6.96038779986331,-5.46504917429325,1.0,-59372.3216326482,-111869.677142858,1.0,-56919.57,-116152.93,NA,P,-0.251856504424779,-0.513951017699115,NA,NA,NA,NA
13.0,2385399311208401024,-61.00811,-101.20166,118.168377633476,4.52445391256562,1.02829337233023,3.49616054023539,351.137,-22.249456,17.0393009185791,16.2742004394531,15.9330997467041,15.7693004608154,15.6746997833252,16.31236,16.915264,15.574285,-99.0,1.0,0.0,19.0,-1.50595606402,-2.58940990407395,1.0,-63695.7016326523,-97608.8511428571,1.0,-61008.11,-101201.66,NA,P,-0.269947389380531,-0.447794955752212,NA,NA,NA,NA
14.0,2391500844828117632,-99.26281,84.78763,130.545193898944,-0.402147841606666,-0.706911826122027,0.304763984515361,350.96402,-21.455286,17.9361000061035,17.1481990814209,16.7936992645264,16.6644992828369,16.5270004272461,17.239416,17.787073,16.412716,-99.0,1.0,0.0,19.0,11.919097201094,10.631248482458,1.0,-102789.181632651,81873.5688571424,1.0,-99262.81,84787.63,NA,P,-0.439215973451327,0.375166504424779,NA,NA,NA,NA
15.0,2388415885783750784,128.58436,-4.1998,128.652928286338,4.19217535124127,3.10894243459368,1.0832329166476,352.00974,-21.834473,17.044900894165,16.3425998687744,16.0177001953125,15.875599861145,15.7716999053955,16.374111,16.94925,15.656526,-99.0,1.0,0.0,19.0,-1.78384491269441,-2.97251786699437,1.0,133543.538367353,-3822.69314285725,1.0,128584.36,-4199.8,NA,P,0.568957345132743,-0.018583185840708,NA,NA,NA,NA
16.0,2382367644117819264,-38.8721,-145.68429,150.781141099323,-0.309671067153875,1.31004682852487,4.66346741150084,351.23962,-22.436808,19.0431003570557,17.7985000610352,17.0144004821777,16.6569995880127,16.4778003692627,17.651564,18.694336,16.646235,-99.0,1.0,0.0,19.0,3.95572950702948,0.196714289774075,1.0,-40503.581632652,-139950.403142857,1.0,-38872.1,-145684.29,NA,P,-0.172000442477876,-0.644620752212389,NA,NA,NA,NA
17.0,2385395875234558848,-32.41627,-100.75689,105.843117127119,3.89445808737228,1.25952706436655,2.63493102300573,351.26874,-22.248404,19.076000213623,17.8568000793457,16.8048992156982,16.3283996582031,16.0848999023438,17.497562,18.71048,16.386368,-99.0,1.0,0.0,19.0,10.2107366446585,-0.354418929543777,1.0,-33922.461632657,-97371.0991428576,1.0,-32416.27,-100756.89,NA,P,-0.14343482300885,-0.445826946902655,NA,NA,NA,NA
18.0,2382393379561914112,0.72352,-113.84754,113.84983902159,4.00234776395091,1.57715140710401,2.42519635684689,351.4219,-22.303957,18.5946998596191,17.5627002716064,17.0769996643066,16.8561000823975,16.698299407959,17.573055,18.339071,16.722095,-99.0,1.0,0.0,19.0,3.75729343770935,-12.6831280428079,1.0,691.698367346135,-109926.077142858,1.0,723.52,-113847.54,NA,P,0.0032014159292035,-0.50375017699115,NA,NA,NA,NA
19.0,2391445521354317056,25.10687,78.03273,81.9723238199931,3.07866587114746,4.4011012658458,4.96074991248125,351.5347,-21.483143,18.6562995910645,17.5384998321533,16.9393997192383,16.6609992980957,16.4862995147705,17.494541,18.377533,16.569965,-99.0,1.0,0.0,19.0,7.18608886185487,-23.2597732510308,1.0,26184.4983673445,75577.8868571429,1.0,25106.87,78032.73,NA,P,0.111092345132743,0.345277566371681,NA,NA,NA,NA
20.0,2388338958624288768,132.87204,-118.47505,178.02055074138,4.44726259432538,2.41341128867201,2.03385130565337,351.79593,-22.550415,16.9395999908447,16.4517993927002,16.255500793457,16.1798992156982,16.1285991668701,16.482887,16.89087,15.902657,NA,NA,NA,NA,4.36572026770231,-14.8190454374409,1.0,85222.4783673472,-165625.585142858,0.0,82656.38,-173898.07,NA,P,0.365736194690265,-0.769460486725664,NA,NA,NA,NA
21.0,2382329779686091648,82.65638,-173.89807,192.542504150199,0.56243276444751,2.01450173202316,4.83111633960394,352.02628,-22.317602,17.5953998565674,17.1177005767822,16.9146003723145,16.8446998596191,16.7737998962402,17.144869,17.554037,16.575857,NA,NA,NA,NA,-2.57126231918759,-5.06702819989379,1.0,137281.578367344,-113009.847142858,0.0,132872.04,-118475.05,NA,P,0.587929380530973,-0.524225884955752,NA,NA,NA,NA
22.0,2388422384069044352,-148.85588,130.52693,NA,NA,NA,NA,352.26358,-21.933252,NA,11.9975996017456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.614339052815,-47.9581933914058,NA,190911.378367345,-26146.7471428573,2.0,185548.21,-27894.16,NA,G,NA,NA,197.978161588089,3.40742031800646,-0.719886897506671,4.12730721551313
23.0,2385369315156805120,61.68741,27.0073,NA,NA,NA,NA,351.04855,-22.436876,NA,12.1532001495361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.480798058487,-46.2295130411374,NA,-83685.4016326576,-139965.771142858,2.0,-80625.06,-146192.08,NA,G,NA,NA,67.3404099022133,3.71202039638633,3.55426237845007,0.157758017936259
24.0,2388387401559966208,185.39183,-59.4008,NA,NA,NA,NA,351.9347,-22.224596,NA,12.2288999557495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4450324037153,23.23215179311,NA,116584.498367352,-91990.491142857,2.0,112280.98,-95874.99,NA,G,NA,NA,194.675590846384,1.02144835564409,2.8315207542291,4.47311290859458
25.0,2391484867549772416,185.54821,-27.89416,NA,NA,NA,NA,351.30966,-21.532448,NA,13.5687999725342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.38442056224042,-4.93830797926288,NA,-24674.5416326506,64434.9568571429,2.0,-23701.93,66452.28,NA,G,NA,NA,187.633212402042,4.63625102210546,2.99237630669718,1.64387471540828
26.0,2382386202671995136,-0.16034,141.88516,NA,NA,NA,NA,351.76245,-22.23974,NA,13.5881996154785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2533050498432,-1.75581177175285,NA,77655.9983673478,-95413.0351428577,2.0,74572.23,-99030.83,NA,G,NA,NA,141.885250597591,0.146643511802424,-1.56966625842308,1.71630977022551
27.0,2382360810825301248,112.28098,-95.87499,NA,NA,NA,NA,351.27005,-22.613468,NA,13.6129999160767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.24831914610582,-8.27290517333645,NA,-33626.4016326465,-179875.563142858,2.0,-32451.29,-188714.93,NA,G,NA,NA,147.644953104603,0.85887779812653,2.43484774744179,4.70721535786433
