#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,17 59 50.53,-21 56 46.8 #Field centre
#UTTIME,14 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,270_m20_comissioning Tile 000
#TILING_DATE,2021 06 10 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","pmRA","pmDEC","Re","GAL_MU_E_R","Mstar","priority","remaining_observations","Tile_number","COMPLETED","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","Position","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
1,"4069907165716436736",193.07939,-8.24972,193.25555289008,4.69059979131739,3.09889153851384,1.59170825280355,270.83847,-21.978844,18.6025009155273,16.6081008911133,15.4555997848511,14.756799697876,14.2934999465942,16.15022,17.77402,14.839895,-3.57014037340395,-5.52114722175475,1,19,-99,1,1,-999,"False",198411.85714286,-7344.64946938691,1,193079.39,-8249.72,NA,"P",0.854333584070797,-0.036503185840708
2,"4070293918948068224",-180.6059,-79.54745,197.348138872178,-1.49245250650045,0.414881881330677,4.37585091934846,269.13773,-22.27959,19.4407005310059,17.8134994506836,16.8166999816895,16.2143993377686,15.8732004165649,17.465778,18.88841,16.281036,-3.26660627861111,1.92820134313699,1,19,-99,1,1,-999,"False",-185955.382857152,-75313.2454693869,1,-180605.9,-79547.45,NA,"P",-0.799141150442478,-0.351979867256637
3,"4070718811468706816",1.08366,76.01557,76.0232938080198,-0.185757379991728,4.69813418232995,1.39929374485791,269.96555,-21.620447,18.1250991821289,16.5076007843018,15.5573997497559,14.9518003463745,14.5500001907349,16.197395,17.535055,15.009998,-0.683162231778158,-1.50893584027996,1,19,-99,1,1,-999,"False",1131.93714285489,73653.0725306131,1,1083.66,76015.57,NA,"P",0.00479495575221239,0.336352079646018
4,"4069546457180880384",53.92604,-68.86988,87.470441643426,1.29121556752194,2.23509343337984,5.33930744132169,270.20996,-22.241018,18.8383007049561,17.5846996307373,16.8864002227783,16.4624004364014,16.1042995452881,17.428408,18.47096,16.391941,-1.04929432703394,-1.08416799206183,1,19,-99,1,1,-999,"False",56368.5971428586,-66595.9734693873,1,53926.04,-68869.88,NA,"P",0.238610796460177,-0.304733982300885
5,"4069475156410965376",123.41812,-164.19955,205.410624273763,0.464239826272938,2.21534298052963,4.5320821529229,270.52286,-22.63595,19.3745002746582,17.8264007568359,16.9123001098633,16.3516998291016,15.9371004104614,17.533884,18.744305,16.396152,-0.128861506001999,-1.61881177454549,1,19,-99,1,1,-999,"False",127083.997142862,-155850.605469387,1,123418.12,-164199.55,NA,"P",0.546097876106195,-0.726546681415929
6,"4069874970620283136",168.93122,-64.49868,180.825431874034,4.5625860660915,2.77686988363697,1.78571618245453,270.7319,-22.217226,17.2931003570557,16.2129001617432,15.6040000915527,15.2151002883911,14.943699836731,16.094732,16.963793,15.103232,-1.72252593383802,1.5384914919158,1,19,-99,1,1,-999,"False",174327.037142852,-61218.9814693872,1,168931.22,-64498.68,NA,"P",0.747483274336283,-0.285392389380531
7,"4070317180492258048",-6.44003,-4.65367,7.9454786432159,1.59988293393748,0.625743913677662,0.974139020259813,269.9304,-21.96654,16.7903003692627,15.8814001083374,15.3625001907349,15.00119972229,14.862099647522,15.826381,16.548323,14.848427,3.24224225632251,-0.645292846994966,1,19,-99,1,1,-999,"False",-6811.96285714225,-4563.94546938684,1,-6440.03,-4653.67,NA,"P",-0.0284957079646018,-0.0205914601769911
8,"4070402014674835072",-157.99564,69.38208,172.55867200502,2.06196143591695,-0.413785471723576,2.47574690764053,269.24033,-21.65078,18.961799621582,17.8125991821289,17.3234996795654,17.039400100708,16.8864002227783,17.798437,18.598528,16.764296,-2.17647633164429,-0.454937463459862,1,19,-99,1,1,-999,"False",-162767.782857153,66797.8145306126,1,-157995.64,69382.08,NA,"P",-0.699095752212389,0.307000353982301
9,"4069932415807915392",105.05826,-3.07266,105.103183746751,1.13039832896567,3.11235378809854,4.30122984804672,270.44504,-21.958803,19.3582992553711,17.4365997314453,16.3187999725342,15.5697002410889,15.0328998565674,16.955769,18.614338,15.656461,-2.27108173235892,-4.20174327280999,1,19,-99,1,1,-999,"False",109496.677142855,-2815.38346938711,1,105058.26,-3072.66,NA,"P",0.464859557522124,-0.0135958407079646
10,"4069979905285916416",161.972,77.08576,179.379885100804,1.08000129657292,3.58579159009697,3.77739501365553,270.69748,-21.6187,15.9113998413086,15.3018999099731,15.0183000564575,14.8713998794556,14.7937002182007,15.309728,15.809101,14.644895,2.3715009598158,1.81871166284243,1,19,-99,1,1,-999,"False",166548.11714285,74047.8945306127,1,161972,77085.76,NA,"P",0.716690265486726,0.341087433628319
