#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,17 59 50.53,-21 56 46.8 #Field centre
#UTTIME,14 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,270_m20_comissioning Tile 000
#TILING_DATE,2021 06 10 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,Re,GAL_MU_E_R,Mstar,priority,remaining_observations,Tile_number,COMPLETED,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,Position,fibre_type,fraction_plate_radius_X,fraction_plate_radius_Y,grads,gangs,gazAngs,gangs_gazAng,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientati,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1.0,4069907165716436736,193.07416408794958,-8.214134012760956,193.25555289008,4.69059979131739,3.09889153851384,1.59170825280355,270.83847000000003,-21.978844,18.6025009155273,16.6081008911133,15.4555997848511,14.756799697876,14.293499946594201,16.15022,17.77402,14.839895,-3.5701403734039503,-5.52114722175475,1.0,19.0,-99.0,1.0,1.0,-999.0,False,198411.85714286,-7344.649469386909,1.0,193079.39,-8249.72,NA,P,0.854333584070797,-0.036503185840708,NA,NA,NA,NA,rectangular_magnet,R01,1.0,I,1.0,A,1.2484285725686275,1.59170825280355,circular_magnet,Yel,1.0,TL,0.03546368063999998,0.006
2.0,4070293918948068224,-180.6150484336118,-79.50758001613512,197.348138872178,-1.49245250650045,0.414881881330677,4.37585091934846,269.13773,-22.27959,19.4407005310059,17.8134994506836,16.8166999816895,16.2143993377686,15.8732004165649,17.465778,18.88841,16.281036,-3.2666062786111096,1.92820134313699,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-185955.382857152,-75313.24546938691,1.0,-180605.9,-79547.45,NA,P,-0.799141150442478,-0.351979867256637,NA,NA,NA,NA,rectangular_magnet,R02,1.0,I,2.0,B,-4.488770253803239,4.37585091934846,circular_magnet,Mag,1.0,TR,0.04046368063999998,0.006
3.0,4070718811468706816,1.0673542008285253,76.01252922175826,76.0232938080198,-0.185757379991728,4.698134182329951,1.39929374485791,269.96555,-21.620447,18.1250991821289,16.5076007843018,15.5573997497559,14.9518003463745,14.5500001907349,16.197395,17.535055,15.009998,-0.6831622317781579,-1.50893584027996,1.0,19.0,-99.0,1.0,1.0,-999.0,False,1131.93714285489,73653.07253061309,1.0,1083.66,76015.57,NA,P,0.00479495575221239,0.336352079646018,NA,NA,NA,NA,rectangular_magnet,R03,1.0,I,3.0,C,-79.35688611306598,1.39929374485791,circular_magnet,Blu,1.0,RO,0.015463680639999975,0.006
4.0,4069546457180880384,53.91677762697257,-68.92388463827078,87.470441643426,1.29121556752194,2.23509343337984,5.339307441321691,270.20996,-22.241018,18.8383007049561,17.5846996307373,16.886400222778303,16.4624004364014,16.1042995452881,17.428407999999994,18.47096,16.391941,-1.04929432703394,-1.08416799206183,1.0,19.0,-99.0,1.0,1.0,-999.0,False,56368.597142858605,-66595.9734693873,1.0,53926.04,-68869.88,NA,P,0.238610796460177,-0.304733982300885,NA,NA,NA,NA,rectangular_magnet,R04,1.0,I,4.0,D,-163.98120246059705,5.339307441321691,circular_magnet,Blu,1.0,TR,0.05446368063999998,0.006
5.0,4069475156410965376,123.42486266451151,-164.20288386691715,205.410624273763,0.464239826272938,2.21534298052963,4.5320821529229,270.52286000000004,-22.63595,19.3745002746582,17.8264007568359,16.9123001098633,16.3516998291016,15.9371004104614,17.533884,18.744305,16.396152,-0.128861506001999,-1.6188117745454895,1.0,19.0,-99.0,1.0,1.0,-999.0,False,127083.99714286199,-155850.605469387,1.0,123418.12,-164199.55,NA,P,0.546097876106195,-0.726546681415929,NA,NA,NA,NA,rectangular_magnet,R05,1.0,I,5.0,I,-116.59898272732613,4.5320821529229,circular_magnet,Mag,1.0,TR,-0.004536319360000025,0.006
6.0,4069874970620283136,168.93923653250764,-64.45896797842606,180.825431874034,4.5625860660915,2.77686988363697,1.78571618245453,270.7319,-22.217226,17.2931003570557,16.2129001617432,15.604000091552699,15.215100288391099,14.943699836731,16.094732,16.963793,15.103232,-1.72252593383802,1.5384914919158,1.0,19.0,-99.0,1.0,1.0,-999.0,False,174327.037142852,-61218.981469387196,1.0,168931.22,-64498.68,NA,P,0.7474832743362829,-0.285392389380531,NA,NA,NA,NA,rectangular_magnet,R06,1.0,I,6.0,J,8.583074747759667,1.78571618245453,circular_magnet,Yel,1.0,TL,0.04046368063999998,-0.002
7.0,4070317180492258048,-6.445334307642863,-4.643283549880456,7.9454786432159015,1.5998829339374798,0.625743913677662,0.9741390202598128,269.9304,-21.96654,16.7903003692627,15.8814001083374,15.3625001907349,15.001199722289998,14.862099647522,15.826381,16.548323,14.848427,3.242242256322509,-0.645292846994966,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-6811.96285714225,-4563.945469386839,1.0,-6440.03,-4653.67,NA,P,-0.0284957079646018,-0.0205914601769911,NA,NA,NA,NA,rectangular_magnet,R07,1.0,I,7.0,K,178.33346017037516,0.9741390202598128,circular_magnet,Blu,1.0,TL,-0.010536319360000025,-0.005
8.0,4070402014674835072,-157.97645264589437,69.35892932140771,172.55867200502,2.06196143591695,-0.413785471723576,2.47574690764053,269.24033,-21.65078,18.961799621582,17.8125991821289,17.3234996795654,17.039400100708,16.886400222778303,17.798437,18.598528,16.764295999999998,-2.17647633164429,-0.454937463459862,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-162767.782857153,66797.8145306126,1.0,-157995.64,69382.08,NA,P,-0.6990957522123891,0.307000353982301,NA,NA,NA,NA,rectangular_magnet,R08,1.0,I,8.0,L,151.85831220322362,2.47574690764053,circular_magnet,Yel,1.0,TR,0.029463680639999976,0.006
9.0,4069932415807915392,105.05581643420766,-3.091919711550134,105.103183746751,1.1303983289656698,3.1123537880985404,4.30122984804672,270.44504,-21.958803,19.3582992553711,17.436599731445302,16.318799972534197,15.569700241088901,15.032899856567399,16.955769,18.614338,15.656460999999998,-2.27108173235892,-4.20174327280999,1.0,19.0,-99.0,1.0,1.0,-999.0,False,109496.677142855,-2815.38346938711,1.0,105058.26,-3072.66,NA,P,0.464859557522124,-0.0135958407079646,NA,NA,NA,NA,rectangular_magnet,R09,1.0,I,9.0,M,-154.76705341837396,4.30122984804672,circular_magnet,Gre,1.0,TR,0.018463680639999976,0.006
10.0,4069979905285916416,161.9652900246844,77.06047412918248,179.379885100804,1.08000129657292,3.5857915900969703,3.7773950136555294,270.69748,-21.6187,15.911399841308599,15.301899909973097,15.0183000564575,14.8713998794556,14.7937002182007,15.309728,15.809101,14.644895000000002,2.3715009598158,1.8187116628424296,1.0,19.0,-99.0,1.0,1.0,-999.0,False,166548.11714285,74047.8945306127,1.0,161972.0,77085.76,NA,P,0.716690265486726,0.341087433628319,NA,NA,NA,NA,rectangular_magnet,R10,1.0,I,10.0,N,-151.87951616228486,3.7773950136555294,circular_magnet,Yel,1.0,TL,0.025463680639999976,0.006
